"Cód.","Proveedor","Fecha","Fecha Venc.","Nro.Fac.","Concepto","Imp.Pres.","Imp.Bonif.","Imp.Ajuste","Imp.NC","Imp.Pago","Saldo"
"10","OSEP AMB.- PLANES ESPECIALES                  ","20/11/2025","20/12/2025","514835","1º NOVIEMBRE / 25 P.ESP.","$ 297.139,86","$ 47.258,88","$ 000,00","$ 000,00","$ 000,00","$ 249.880,98"
"10","OSEP AMB.- PLANES ESPECIALES                  ","20/11/2025","20/12/2025","514836","1º NOVIEMBRE / 25 AMB.","$ 1.135.376,64","$ 335.673,09","$ 000,00","$ 000,00","$ 000,00","$ 799.703,55"
"10","OSEP AMB.- PLANES ESPECIALES                  ","03/12/2025","02/01/2026","514910","2º NOVIEMBRE / 25 AMB. (1424)","$ 975.806,94","$ 264.504,09","$ 000,00","$ 000,00","$ 000,00","$ 711.302,85"
"10","OSEP AMB.- PLANES ESPECIALES                  ","03/12/2025","02/01/2026","514911","2º NOVIEMBRE / 25 P. ESP (1424)","$ 158.265,27","$ 26.536,19","$ 000,00","$ 000,00","$ 000,00","$ 131.729,08"
"10","OSEP AMB.- PLANES ESPECIALES                  ","18/12/2025","17/01/2026","514963","1º DICIEMBRE/25 AMB (1426)","$ 1.413.030,02","$ 437.529,02","$ 000,00","$ 000,00","$ 000,00","$ 975.501,00"
"10","OSEP AMB.- PLANES ESPECIALES                  ","18/12/2025","17/01/2026","514964","1º DICIEMBRE/25 P. ESP (1426)","$ 532.679,12","$ 77.591,11","$ 000,00","$ 000,00","$ 000,00","$ 455.088,01"
"10","OSEP AMB.- PLANES ESPECIALES                  ","07/01/2026","06/02/2026","515024","2º DICIEMBRE / 25 AMB.(1428)","$ 1.275.732,79","$ 393.494,09","$ 000,00","$ 000,00","$ 000,00","$ 882.238,70"
"10","OSEP AMB.- PLANES ESPECIALES                  ","07/01/2026","06/02/2026","515025","2º DICIEMBRE / 25 P.ESP. (1428)","$ 460.350,13","$ 78.690,51","$ 000,00","$ 000,00","$ 000,00","$ 381.659,62"
"10","OSEP AMB.- PLANES ESPECIALES                  ","21/01/2026","20/02/2026","515090","1º ENERO / 26 AMB. (1430)","$ 1.197.003,00","$ 396.799,88","$ 000,00","$ 000,00","$ 000,00","$ 800.203,12"
"10","OSEP AMB.- PLANES ESPECIALES                  ","21/01/2026","20/02/2026","515091","1º ENERO / 26 P.ESP.(1430)","$ 313.992,96","$ 55.910,56","$ 000,00","$ 000,00","$ 000,00","$ 258.082,40"
"10","OSEP AMB.- PLANES ESPECIALES                  ","05/02/2026","07/03/2026","515181","2º ENERO / 26 AMB. (1432)","$ 1.357.401,34","$ 378.851,71","$ 000,00","$ 000,00","$ 000,00","$ 978.549,63"
