Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion,Item,Troquel/Reg.Med ,Drog.Present,Fabricante,Rubro,Cantidad,Precio Unitario,Imp.Bonif,Bonif,Descuento,Importe Cobertura,Importe Afiliado
BIOLATINA SRL,0003-00016981,FACTURA DE COMPRA POS,,"$ 105.581,27",02/12/2025,01/12/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 416415 NATURA + BOLSA DREN,4441,null,VARIOS,ACC.,9,"1,00","0,00","0,00","0,00","9,00","0,00"
,0003-00016982,FACTURA DE COMPRA POS,,"$ 156.236,65",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,CVT 125263 PLACA FLEX. STOMAHE,768455101764,null,VARIOS,ACC.,4,"1,00","0,00","0,00","0,00","4,00","0,00"
,,,,,,,,,,,CVT 125371 BOLS. DRENAB. TRASN,768455109326,null,VARIOS,ACC.,40,"1,00","0,00","0,00","0,00","40,00","0,00"
,,,,,,,,,,,CVT 422567 CONVAMAX S/A10X10X1,6940610106331,null,CONVATEC,ACC.MASIVOS,4,"0,00","0,00","0,00","0,00","0,00","0,00"
,0003-00016983,FACTURA DE COMPRA POS,,"$ 13.600,16",02/12/2025,02/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,D VENDA CAMBRIC 10CM ,AAAA,null,ALFOLATEX,ACC.,20,"1,00","0,00","0,00","0,00","20,00","0,00"
,,,,,,,,,,,D VENDA CAMBRIC 7CM,AAAA,null,ALFOLATEX,ACC.,20,"1,00","0,00","0,00","0,00","20,00","0,00"
,0003-00016999,FACTURA DE COMPRA POS,,"$ 30.002,01",05/12/2025,05/01/2026,FCIA BIOSALUD,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,GOCHEK2 KIT MEDID X1,6958590302520,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,2,"1,00","0,00","0,00","0,00","2,00","0,00"
,,,,,,,,,,,GOCHEK2 TIRAS REACT.X 50,6958590303046,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,4,"1,00","0,00","0,00","0,00","4,00","0,00"
,0003-00017001,FACTURA DE COMPRA POS,,"$ 7.501,01",05/12/2025,05/01/2026,BIOSALUD CHACRAS ,INGRESADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL ,GOCHEK2 KIT MEDID X1,6958590302520,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,1,"1,00","0,00","0,00","0,00","1,00","0,00"
,,,,,,,,,,,GOCHEK2 TIRAS REACT.X 50,6958590303046,TIRAS REACTIVAS ,NIPRO MEDICAL ,ACC.MASIVOS,1,"1,00","0,00","0,00","0,00","1,00","0,00"
