"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000310"," D ABBOCATH-T CATETER 18 G","VARIOS","","","8881","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000167307","3M ATTEST RAPIDO  <1294>  X50","3 M","ACCESORIO PARA CIRUGIA           (AC.DE)","3M","2302248148","","A50056596","SI","FTW","1","FTW",""
"100100000000106753","{3M BARBIJ RIG 95 COD1860SX20","3 M","BARBIJO                          (AC.DE)","3M","1007073874196","BV41860S","A89006210","SI","FTW","3","FTW",""
"968551","{3M BARBIJO ARMA ASEP COD1800","3 M","BARBIJO                          (AC.DE)","3M","3070738750667","BV33496","A88887818","SI","FTW","3","FTW",""
"100100000000138317","3M BARBIJO AURA 95 COD9205 X1","3 M","BARBIJO                          (AC.DE)","3M","11312301","","A50026626","SI","FTW","1","FTW",""
"100100000000197088","3M BARBIJO AURA 95 COD9205 X3","3 M","BARBIJO                          (AC.DE)","3M","51131224162","","A50078203","SI","FTW","1","FTW",""
"922942","3M BARBIJO BIO SEGURIDAD 1870","3 M","BARBIJO                          (AC.DE)","3M","0707387561322","BV41799","A88870777","SI","FTW","1","FTW",""
"100100000000092621","{3M BARBIJO BIO SEGURIDAD X20","3 M","BARBIJO                          (AC.DE)","3M","30707387561322","BV41799","A88989862","SI","FTW","3","FTW",""
"100100000000127183","3M BARBIJO N95 CAJA X10U","3 M","BARBIJO                          (AC.DE)","3M","7798362410027","","A50015412","SI","FTW","1","FTW",""
"100100000000127184","{3M BARBIJO QUIRUR 3CAPAZ 50U","3 M","BARBIJO                          (AC.DE)","3M","7798362410010","","A50015413","SI","FTW","3","FTW",""
"100100000000106752","3M BARBIJO RIG 95 COD1860 X20","3 M","BARBIJO                          (AC.DE)","3M","1007073874194","BV41860","A89006209","SI","FTW","1","FTW",""
"100100000000023328","3M BARBIJO RIG 95 COD8210 X20","3 M","BARBIJO                          (AC.DE)","3M","051131918078","BV41801","A88923975","SI","FTW","1","FTW",""
"100100000000137737","3M BARBIJO RIG 95 COD9502 X 1","3 M","BARBIJO                          (AC.DE)","3M","6912504293533","","A50026023","SI","FTW","1","FTW",""
"100100000000106749","{3M BARBIJO RIG 95 COD9820 X1","3 M","BARBIJO                          (AC.DE)","3M","1789104027913","BV64542","A89006208","SI","FTW","3","FTW",""
"100100000000072700","{3M BARBIJO RIG IN COD9910 BL","3 M","BARBIJO                          (AC.DE)","3M","7891040113187","BV12675","A88972472","SI","FTW","3","FTW",""
"100100000000024951","3M BARBIJO RIG P2 COD8801 X 1","3 M","BARBIJO                          (AC.DE)","3M","7891040036318","BV35690","A88924699","SI","FTW","1","FTW",""
"946167","3M BARBIJO TABL QUI TIE-ONX50","3 M","BARBIJO                          (AC.DE)","3M","1500094322","BV37779","A88878221","SI","FTW","1","FTW",""
"100100000000196064","3M MASC DESECHABLE X10 ACC","3 M","BARBIJO                          (AC.DE)","3M","051131223127","","A50077145","SI","FTW","1","FTW",""
"100100000000122135","3M MASC P/P 8200 PLUS N95 X20","3 M","BARBIJO                          (AC.DE)","3M","51131070233","","A50010178","SI","FTW","1","FTW",""
"100100000000122134","3M MASC P/P 8210 PLUS N95 X20","3 M","BARBIJO                          (AC.DE)","3M","5113152924","","A50010177","SI","FTW","1","FTW",""
"717100","3M MASC QUIRURG MOLDEADA X20","3 M","BARBIJO                          (AC.DE)","3M","","","A88807306","SI","FTW","1","FTW",""
"717101","3M MASC QUIRURG RESP #95 X20","3 M","BARBIJO                          (AC.DE)","3M","","","A88807307","SI","FTW","1","FTW",""
"717099","3M MASC QUIRURG STANDARD X50","3 M","BARBIJO                          (AC.DE)","3M","","","A88807305","SI","FTW","1","FTW",""
"744002","3M MASCARI QUIR 1800+ASEP SUA","3 M","BARBIJO                          (AC.DE)","3M","","","A88841596","SI","FTW","1","FTW",""
"744004","3M MASCARI QUIR 1870 RESP N95","3 M","BARBIJO                          (AC.DE)","3M","","","A88841598","SI","FTW","1","FTW",""
"744003","3M MASCARI QUIR TIE-ON","3 M","BARBIJO                          (AC.DE)","3M","","","A88841597","SI","FTW","1","FTW",""
"100100000000188703","3M RESPIR 8511 VALV N95 X10UN","3 M","BARBIJO                          (AC.DE)","3M","051138543433","","A50069903","SI","FTW","1","FTW",""
"100100000000167304","3M STERI-STRIP<1541>  6X 75MM","3 M","SUTURA                           (AC.DE)","3M","1000000005417","","A50056594","SI","FTW","1","FTW",""
"100100000000167302","3M STERI-STRIP<1547>125X100MM","3 M","SUTURA                           (AC.DE)","3M","1000000005592","","A50056593","SI","FTW","1","FTW",""
"708982","ABBOCATH-T CATETER IV 14 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090005960","","A32500101","SI","FTW","1","FTW",""
"708983","ABBOCATH-T CATETER IV 16 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090005977","","A32500102","SI","FTW","1","FTW",""
"708984","ABBOCATH-T CATETER IV 18 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090005984","","A32500103","SI","FTW","1","FTW",""
"708985","ABBOCATH-T CATETER IV 20 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090005991","","A32500104","SI","FTW","1","FTW",""
"708986","ABBOCATH-T CATETER IV 22 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090006004","","A32500105","SI","FTW","1","FTW",""
"708987","ABBOCATH-T CATETER IV 24 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","304090006011","","A32500106","SI","FTW","1","FTW",""
"721891","ABBOCATH-T CATETER IV TEF N16","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","","","A88814203","SI","FTW","1","FTW",""
"100100000000070381","ABBOCATH-T CATETER IV TEF N20","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","","","A88969486","SI","FTW","1","FTW",""
"100100000000169578","ABBOCATH-T SIM DISPRO 14 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422618","","A50058929","SI","FTW","1","FTW",""
"100100000000169579","ABBOCATH-T SIM DISPRO 16 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422625","","A50058931","SI","FTW","1","FTW",""
"100100000000169582","ABBOCATH-T SIM DISPRO 18 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422632","","A50058932","SI","FTW","1","FTW",""
"100100000000169580","ABBOCATH-T SIM DISPRO 20 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422649","","A50058934","SI","FTW","1","FTW",""
"100100000000169583","ABBOCATH-T SIM DISPRO 22 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422656","","A50058936","SI","FTW","1","FTW",""
"100100000000169585","ABBOCATH-T SIM DISPRO 24 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001422663","","A50058937","SI","FTW","1","FTW",""
"100100000000069248","ABBOCATH-T SIM EUROMI 14 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001198858","","A88966962","SI","FTW","1","FTW",""
"100100000000114427","ABBOCATH-T SIM EUROMI 16 G","MARCELO UMBRAZUM","CATETER                          (AC.DE)","ABBOCATH-T","2000001318614","","A50002367","SI","FTW","1","FTW",""
"100100000000114428","ABBOCATH-T SIM EUROMI 18 G","MARCELO UMBRAZUM","CATETER                          (AC.DE)","ABBOCATH-T","2000001325339","","A50002368","SI","FTW","1","FTW",""
"100100000000114429","ABBOCATH-T SIM EUROMI 20 G","MARCELO UMBRAZUM","CATETER                          (AC.DE)","ABBOCATH-T","2000001321300","","A50002369","SI","FTW","1","FTW",""
"100100000000114430","ABBOCATH-T SIM EUROMI 22 G","MARCELO UMBRAZUM","CATETER                          (AC.DE)","ABBOCATH-T","2000001321317","","A50002370","SI","FTW","1","FTW",""
"100100000000114431","ABBOCATH-T SIM EUROMI 24 G","MARCELO UMBRAZUM","CATETER                          (AC.DE)","ABBOCATH-T","2000001299845","","A50002371","SI","FTW","1","FTW",""
"100100000000069251","ABBOCATH-T SIM HARSON 16 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001198841","","A88966961","SI","FTW","1","FTW",""
"100100000000069250","ABBOCATH-T SIM HARSON 22 G","ABBOTT (ACC)","CATETER                          (AC.DE)","ABBOCATH-T","2000001198971","","A88966964","SI","FTW","1","FTW",""
"743586","ABBOTT LANCETAS C/DIGIT X 50","ABBOTT (ACC)","LANCETA                          (AC.DE)","ABBOTT","93815971016","","A99906056","SI","FTW","1","FTW",""
"100100000000176075","ABIEN ENVAS ESTERIL X 125CC","PAPELERA DEL PLATA","RECIPIENTE ESTERIL               (AC.DE)","ABIEN","7798009561310","","A50065556","SI","FTW","1","FTW",""
"100100000000056852","{ACCU-CHEK COMBO","ROCHE DIABETES","ACCESORIO PARA DIABETES          (AC.DE)","ACCU-CHEK","4015630884865","","A88955765","SI","FTW","3","FTW",""
"100100000000056850","{ACCU-CHEK COMBO SERVICE PACK","ROCHE DIABETES","ACCESORIO PARA DIABETES          (AC.DE)","ACCU-CHEK","4015630883103","","A88955764","SI","FTW","3","FTW",""
"100100000000038190","ACCU-CHEK FASTCLIX  KIT  X 1","ROCHE DIABETES","LANCETA                          (AC.DE)","ACCU-CHEK","4015630063024","","A88937401","SI","FTW","1","FTW",""
"100100000000073066","ACCU-CHEK FASTCLIX  KIT NP X1","ROCHE DIABETES","LANCETA                          (AC.DE)","ACCU-CHEK","4015630065585","","A88971805","SI","FTW","1","FTW",""
"100100000000038186","ACCU-CHEK FASTCLIX LANCE X 24","ROCHE DIABETES","LANCETA                          (AC.DE)","ACCU-CHEK","4015630058518","9950264","A88937397","SI","FTW","1","FTW",""
"100100000000038185","ACCU-CHEK FASTCLIX LANCE X102","ROCHE DIABETES","LANCETA                          (AC.DE)","ACCU-CHEK","4015630058501","9950265","A88937396","SI","FTW","1","FTW",""
"100100000000056846","{ACCU-CHEK FLEXLINK 10/110","ROCHE DIABETES","CANULA                           (AC.DE)","ACCU-CHEK","4015630049899","","A88955760","SI","FTW","3","FTW",""
