"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000182272","{8M CERA RJ 5L","DIVERSEY","LIMPIEZA                          (LIMP)","8M","7798057861271","","","SI","FTW","3","FTW",""
"100100000000182273","{8M L.MUEB. 360CC","DIVERSEY","LIMPIEZA                          (LIMP)","8M","7798057860250","","","SI","FTW","3","FTW",""
"100100000000137296","ACE JAB LIMP COMP POU X 400ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185530","","A50025551","SI","FTW","1","FTW",""
"100100000000137297","ACE JAB LIMP COMP POU X3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185531","","A50025552","SI","FTW","1","FTW",""
"100100000000129614","{ACE JAB LIQ COLOR INT X800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176590","","A50017919","SI","FTW","3","FTW",""
"100100000000137117","{ACE JAB LIQ COLOR INTX3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176644","","A50025387","SI","FTW","3","FTW",""
"744120","ACE JAB POLVO ACCION IX 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002012222","","A88841714","SI","FTW","1","FTW",""
"1016119","ACE JAB POLVO ALOE MZNX 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006734058","","A88899074","SI","FTW","1","FTW",""
"744804","ACE JAB POLVO AROMA BBX 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421445","","A88842385","SI","FTW","1","FTW",""
"744805","ACE JAB POLVO AROMA BBX 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421452","","A88842387","SI","FTW","1","FTW",""
"876237","ACE JAB POLVO BEBE BE X3000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421414","","A88856988","SI","FTW","1","FTW",""
"876238","ACE JAB POLVO BEBE BE X4000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421421","","A88856989","SI","FTW","1","FTW",""
"876239","ACE JAB POLVO BEBE BE X6000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421438","","A88856990","SI","FTW","1","FTW",""
"876234","ACE JAB POLVO BLAN BE X 700GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001276096","","A88856985","SI","FTW","1","FTW",""
"876235","ACE JAB POLVO BLAN ME X2500GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001276102","","A88856986","SI","FTW","1","FTW",""
"876236","ACE JAB POLVO BLAN ME X4000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001281120","","A88856987","SI","FTW","1","FTW",""
"876245","ACE JAB POLVO C/SU AE X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501065910103","","A88856996","SI","FTW","1","FTW",""
"876247","ACE JAB POLVO C/SU AE X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501065910110","","A88856998","SI","FTW","1","FTW",""
"876246","ACE JAB POLVO C/SU BE X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501065910127","","A88856997","SI","FTW","1","FTW",""
"876248","ACE JAB POLVO C/SU BE X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501065910134","","A88856999","SI","FTW","1","FTW",""
"876240","ACE JAB POLVO JAZM AE X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007450261","","A88856991","SI","FTW","1","FTW",""
"876242","ACE JAB POLVO JAZM AE X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007450278","","A88856993","SI","FTW","1","FTW",""
"876241","ACE JAB POLVO JAZM BE X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007450285","","A88856992","SI","FTW","1","FTW",""
"876243","ACE JAB POLVO JAZM BE X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007450292","","A88856994","SI","FTW","1","FTW",""
"876244","ACE JAB POLVO JAZM ME X3000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007450308","","A88856995","SI","FTW","1","FTW",""
"744803","ACE JAB POLVO ME AROMAX 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421384","","A88842386","SI","FTW","1","FTW",""
"744806","ACE JAB POLVO ME AROMAX 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501007421391","","A88842388","SI","FTW","1","FTW",""
"744119","ACE JAB POLVO ME BLAN X 700GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001320478","","A88841713","SI","FTW","1","FTW",""
"876230","ACE JAB POLVO ME MAXI X8000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002047477","","A88856981","SI","FTW","1","FTW",""
"744116","ACE JAB POLVO ME NATU X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006734065","","A88841710","SI","FTW","1","FTW",""
"744121","ACE JAB POLVO ME NATU X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006734072","","A88841715","SI","FTW","1","FTW",""
"779055","ACE JAB POLVO ME NATU X3000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006734089","","A88844888","SI","FTW","1","FTW",""
"744115","ACE JAB POLVO MINIESP X 350GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001281113","","A88841709","SI","FTW","1","FTW",""
"744117","ACE JAB POLVO MINIESP X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002013779","","A88841711","SI","FTW","1","FTW",""
"744122","ACE JAB POLVO MINIESP X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002012239","","A88841716","SI","FTW","1","FTW",""
"876231","ACE JAB POLVO NATU AE X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006734041","","A88856982","SI","FTW","1","FTW",""
"876232","ACE JAB POLVO NATU AE X 800GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002038352","","A88856983","SI","FTW","1","FTW",""
"876233","ACE JAB POLVO NATU BE X3000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002043288","","A88856984","SI","FTW","1","FTW",""
"904579","ACE JAB POLVO NATU LS X3000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501065910141","","A88866249","SI","FTW","1","FTW",""
"744118","ACE JAB POLVO REGULAR X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7590002013786","","A88841712","SI","FTW","1","FTW",""
"923830","ACE JAB POLVO ROS/JAZ X 400GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501006746143","","A88871369","SI","FTW","1","FTW",""
"876226","ACE JAB POLVO TRAD AE X2000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001309541","","A88856977","SI","FTW","1","FTW",""
"876225","ACE JAB POLVO TRAD BE X2000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001309534","","A88856976","SI","FTW","1","FTW",""
"876227","ACE JAB POLVO TRAD BE X4000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001300531","","A88856978","SI","FTW","1","FTW",""
"876228","ACE JAB POLVO TRAD BE X5000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001155827","","A88856979","SI","FTW","1","FTW",""
"876229","ACE JAB POLVO TRAD BE X6000GR","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7501001318215","","A88856980","SI","FTW","1","FTW",""
"100100000000139381","{ACE LIQ COLORES VER PX3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435200202","","A50027701","SI","FTW","3","FTW",""
"100100000000139382","{ACE LIQ COLORES VERA PX800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435200196","","A50027702","SI","FTW","3","FTW",""
"100100000000116785","{ACE LIQ FRESCOR PRIM PX800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435200189","","A50004750","SI","FTW","3","FTW",""
"100100000000116784","ACE LIQ FRESCOR PRIMAV POU.3L","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435200172","","A50004749","SI","FTW","1","FTW",""
"100100000000144629","{ACE LIQ LIMPIEZA CPT P2700ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185448","","A50033088","SI","FTW","3","FTW",""
"100100000000139462","{ACE LIQ LIMPIEZA CPT P3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185431","","A50027705","SI","FTW","3","FTW",""
"100100000000139464","{ACE LIQ LIMPIEZA CPT PX800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185462","","A50027707","SI","FTW","3","FTW",""
"100100000000139463","{ACE LIQ LIMPIEZA CPT X3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435185578","","A50027706","SI","FTW","3","FTW",""
"100100000000120875","ACE LIQ SOL TOTAL     X2700ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176699","","A50008900","SI","FTW","1","FTW",""
"100100000000139383","{ACE LIQ SOL TOTAL    X 800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176613","","A50027703","SI","FTW","3","FTW",""
"100100000000125778","{ACE LIQ SOL TOTAL    X3000ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176682","","A50013948","SI","FTW","3","FTW",""
"100100000000139384","{ACE LIQ SOL TOTAL   PX 800ML","PROC & GAMB (APE)","LIMPIEZA                          (LIMP)","ACE","7500435176668","","A50027704","SI","FTW","3","FTW",""
