"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000135","* ARTROSTOP T CALIENTE X 1SOB","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000864","* CURITA SUELTA  X1","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000324","* LETONDAL S/T  X10","FINADIET","","","7791171001530","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"708077","3M BOTIQ 1ºAUXILIOS","3 M","BOTIQUIN DE 1 ROS AUXILIOS       (AC.MA)","3M","7792840950180","","A11900701","SI","FTW","1","FTW",""
"744001","3M DEFIB PADS 11.4CM X 15.2CM","3 M","TELA ADHESIVA                    (AC.MA)","3M","","","A88841595","SI","FTW","1","FTW",""
"743998","3M ELECTRODOS 2228 SOP ESPX50","3 M","ELECTRODO                        (AC.MA)","3M","1070738758220","BV42883","A88841592","SI","FTW","1","FTW",""
"743997","3M ELECTRODOS AD SOP MICRO LD","3 M","ELECTRODO                        (AC.MA)","3M","","","A88841591","SI","FTW","1","FTW",""
"717115","3M ELECTRODOS ADULTO DOT X50","3 M","ELECTRODO                        (AC.MA)","3M","0110707387580","","A88807321","SI","FTW","1","FTW",""
"744000","3M ELECTRODOS PED SOP MICRO","3 M","ELECTRODO                        (AC.MA)","3M","","","A88841594","SI","FTW","1","FTW",""
"100100000000147024","3M ELECTRODOS PEDIAT DOT X50","3 M","ELECTRODO                        (AC.MA)","3M","1000000012231","","A50035520","SI","FTW","1","FTW",""
"100100000000119319","3M ELECTRODOS P/ELECT    X50","3 M","ELECTRODO                        (AC.MA)","3M","7073875822001","","A50007319","SI","FTW","1","FTW",""
"100100000000032263","{3M TAPONES AUDI REUTIL C/COR","3 M","TAPON OIDO                       (AC.MA)","3M","051131371842","BV1290","A88932106","SI","FTW","3","FTW",""
"100100000000024952","3M TAPONES AUDIT REUTILIZABLE","3 M","TAPON OIDO                       (AC.MA)","3M","7891040229253","BV1291","A88924700","SI","FTW","1","FTW",""
"100100000000133184","3M TAPONES OIDO REUSABLE   X2","3 M","TAPON OIDO                       (AC.MA)","3M","5113829008609","","A50021559","SI","FTW","1","FTW",""
"100100000000106761","3M TAPONES PROT AUD+CAJ/CO X2","3 M","TAPON OIDO                       (AC.MA)","3M","051131371859","","A89006214","SI","FTW","1","FTW",""
"100100000000032262","3M TAPONES PROT AUDIT ESP C/C","3 M","TAPON OIDO                       (AC.MA)","3M","051138290092","BV1110","A88932105","SI","FTW","1","FTW",""
"743996","3M TAPONES PROT AUDIT ESPUMA","3 M","TAPON OIDO                       (AC.MA)","3M","051138290085","BV1100","A88841590","SI","FTW","1","FTW",""
"717114","3M TAPONES PROT OIDOS PAR","3 M","TAPON OIDO                       (AC.MA)","3M","","","A88807320","SI","FTW","1","FTW",""
"100100000000164527","3M TELA ADH DURAP 250X9X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","1000000015355","","A50053732","SI","FTW","1","FTW",""
"100100000000164564","3M TELA ADH MEDIP   5X9X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","5070738743484","","A50053769","SI","FTW","1","FTW",""
"100100000000164561","3M TELA ADH MEDIP 250X9X24","3 M","TELA ADHESIVA                    (AC.MA)","3M","5070738743483","","A50053767","SI","FTW","1","FTW",""
"100100000000164563","3M TELA ADH MICRO   5X5X6","3 M","TELA ADHESIVA                    (AC.MA)","3M","3070738701984","","A50053768","SI","FTW","1","FTW",""
"100100000000133679","3M TELA ADH MICRO   5X9X6","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870074009","","A50022060","SI","FTW","1","FTW",""
"100100000000133680","3M TELA ADH MICRO  25X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","6008701024862","","A50022061","SI","FTW","1","FTW",""
"100100000000173366","3M TELA ADH MICRO 1.25X9 X24U","3 M","TELA ADHESIVA                    (AC.MA)","3M","3070738779440","","A50062768","SI","FTW","1","FTW",""
"100100000000133678","3M TELA ADH MICRO 250X9X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870073941","","A50022059","SI","FTW","1","FTW",""
"100100000000133672","3M TELA ADH MICRO RAC125X9X24","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870073873","","A50022053","SI","FTW","1","FTW",""
"100100000000164560","3M TELA ADH MICRO ROL125X9X24","3 M","TELA ADHESIVA                    (AC.MA)","3M","1000000015393","","A50053765","SI","FTW","1","FTW",""
"100100000000133683","3M TELA ADH TRAN    5X9X6","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870659671","","A50022064","SI","FTW","1","FTW",""
"100100000000133681","3M TELA ADH TRAN  125X9X24","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870073552","","A50022062","SI","FTW","1","FTW",""
"100100000000133682","3M TELA ADH TRAN  250X9X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870659664","","A50022063","SI","FTW","1","FTW",""
"100100000000191420","3M TELA ADH TRAN R 1527-1 X12","3 M","TELA ADHESIVA                    (AC.MA)","3M","7073870659596","","A50072683","SI","FTW","1","FTW",""
"134940000000000341","A  ATROPINA SUL.BIO 1% AMP X1","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000348","A ADRENALINA 1% AMPOLLA DUNCAN","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000760","A ADRENALINA 1% AMPOLLA HLB","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000602","A ADRENALINA 1MG X 1 DRAWER","DRAWER","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000343","A CEFTAZIDIMA 1 G X 1 POLVO ES","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000333","A DEXAMETASONA AMP 4 MG X1 ","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000332","A DEXAMETASONA AMP 8 MG/ 2ML X","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000662","A DIPIRONA 1 GR/ 2ML X1 VEINFA","VEINFAR","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000660","A HIDROCORTISONA 100 MG X 1 DR","DRAWER","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000661","A HIDROCORTISONA 500 MG X 1 DR","DRAWER","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000648","A HIOSCINA N-BUTILBROMURO 20 M","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000347","A LIDOCAINA 2%X1 SCOTT CASSARA","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000346","A MEROPENEM 1 G X 1 RICHET","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000344","A METOCLOPRAMIDA 2 ML X 1","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000675","A ONDANSETRON 8MG GOBBI","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000345","A PIPER-TAZO AMP 4MG/500 X 1 K","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"725470","A PRE ESPERMICIDA    X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780032","","A88819047","SI","FTW","1","FTW",""
"726039","A PRE ESPERMICIDA 12 X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780100","","A88819809","SI","FTW","1","FTW",""
"725471","A PRE MIXTA       12 X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780049","","A88819048","SI","FTW","1","FTW",""
"725473","A PRE REGULAR        X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780018","","A88819050","SI","FTW","1","FTW",""
"725472","A PRE REGULAR     12 X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780230","","A88819049","SI","FTW","1","FTW",""
"725474","A PRE TEXTURADO      X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","","","A88819051","SI","FTW","1","FTW",""
"726040","A PRE TEXTURADO   12 X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780292","","A88819810","SI","FTW","1","FTW",""
"725475","A PRE ULTRAFINO      X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780025","","A88819052","SI","FTW","1","FTW",""
"726041","A PRE ULTRAFINO   12 X 3","PRESEGA","PRESERVATIVO                     (AC.MA)","A","7798085780261","","A88819811","SI","FTW","1","FTW",""
"134940000000000762","A SOL. FISIO. 9MG/ML X10ML X 1","HLB PHARMA","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000334","A SOL. FISIO. 9MG/ML X5ML X 1 ","VARIOS","","","7771","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000176073","ABIEN GASA N5 10X10 CA X10X10","PAPELERA DEL PLATA","GASA                             (AC.MA)","ABIEN","7798009561280","","A50065557","SI","FTW","1","FTW",""
"100100000000176074","ABIEN GASA N5 20X20 CA X6X4TR","PAPELERA DEL PLATA","GASA                             (AC.MA)","ABIEN","7798009561303","","A50065558","SI","FTW","1","FTW",""
"907685","{ACCU-CHEK 360 SOFTWA KIT X1","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630006960","","A88867596","SI","FTW","3","FTW",""
"948119","{ACCU-CHEK 360 SOFTWARE INTERN","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630006946","","A88879306","SI","FTW","3","FTW",""
"726290","ACCU-CHEK ACTIVE CTRL FCO X 2","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630004706","","A88820337","SI","FTW","1","FTW",""
"743615","{ACCU-CHEK ACTIVE GLUCOS  X25","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630065233","9929222","A99906311","SI","FTW","3","FTW",""
"100100000000073012","ACCU-CHEK ACTIVE GLUCOS NPX25","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630064175","9953861","A88971795","SI","FTW","1","FTW",""
"100100000000073013","ACCU-CHEK ACTIVE GLUCOS NPX50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630064076","9953862","A88971796","SI","FTW","1","FTW",""
"703109","{ACCU-CHEK ACTIVE GLUCOS X50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","","0200002","A99906312","SI","FTW","3","FTW",""
"704108","ACCU-CHEK ACTIVE KIT MED X 1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630065929","","A99906313","SI","FTW","1","FTW",""
"100100000000073014","ACCU-CHEK ACTIVE KIT NP MEDX1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630064243","9953863","A88971797","SI","FTW","1","FTW",""
"100100000000153100","ACCU-CHEK COMPASS","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630014071","","A50041903","SI","FTW","1","FTW",""
"100100000000073896","ACCU-CHEK GUIDE CTRL SOL X1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630066544","","A88971949","SI","FTW","1","FTW",""
"100100000000073899","ACCU-CHEK GUIDE KIT MEDID X 1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630083282","","A88971952","SI","FTW","1","FTW",""
"100100000000162865","{ACCU-CHEK GUIDE MG/DL FC","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","437400870036","","A50051994","SI","FTW","3","FTW",""
"100100000000073898","ACCU-CHEK GUIDE TIRAS REA X25","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630066834","","A88971951","SI","FTW","1","FTW",""
"100100000000073897","ACCU-CHEK GUIDE TIRAS REA X50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630066841","","A88971950","SI","FTW","1","FTW",""
"100100000000136220","ACCU-CHEK GUIDE USO INST  X50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630067626","","A50024656","SI","FTW","1","FTW",""
"873837","{ACCU-CHEK PERFORMA 75 COMBO","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","7791864960236","","A88856032","SI","FTW","3","FTW",""
"100100000000056856","{ACCU-CHEK PERFORMA COMBO","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630888283","","A88955769","SI","FTW","3","FTW",""
"875620","ACCU-CHEK PERFORMA CONTROL X1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630007257","","A88856033","SI","FTW","1","FTW",""
"100100000000038191","{ACCU-CHEK PERFORMA II KIT MED","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630982264","","A88937402","SI","FTW","3","FTW",""
"873954","ACCU-CHEK PERFORMA KIT MED X1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630980864","","A88856034","SI","FTW","1","FTW",""
"964619","{ACCU-CHEK PERFORMA NANO KIT1","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630981854","","A88885402","SI","FTW","3","FTW",""
"873834","ACCU-CHEK PERFORMA TIRAS X 25","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630981960","9940740","A88856030","SI","FTW","1","FTW",""
"873835","ACCU-CHEK PERFORMA TIRAS X 50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630981977","9940741","A88856031","SI","FTW","1","FTW",""
"100100000000191785","ACCU-CHEK SAFE T-PRO UNO","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630058693","","A50073056","SI","FTW","1","FTW",""
"743205","ACCU-CHEK SENSOR BIOSENSOR X1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630007035","","A99902856","SI","FTW","1","FTW",""
"743275","{ACCU-CHEK SENSOR COMF CTRLX2","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630011278","","A99903730","SI","FTW","3","FTW",""
"743270","{ACCU-CHEK SENSOR COMF GLUX50","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630011537","5000172","A99903690","SI","FTW","3","FTW",""
"100100000000059279","ACCU-CHEK SMART PIX KIT  X 2","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630006618","","A88956498","SI","FTW","1","FTW",""
"743276","ACCU-CHEK SOFTCLIX PUNZAD  X1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630018239","","A99903731","SI","FTW","1","FTW",""
"948118","{ACCU-CHEK USB CABLE X 1","ROCHE DIABETES","CONTROL GLUCOSA                  (AC.MA)","ACCU-CHEK","4015630019304","","A88879305","SI","FTW","3","FTW",""
"100100000000043794","{ACCUTREND ALPHA (REFLECT)X 1","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","4015630001774","","A03340038","SI","FTW","3","FTW",""
"729454","{ACCUTREND COLEST TIRAS X  5","ROCHE","CONTROL COLESTEROL               (AC.MA)","ACCUTREND","4015630000357","5000112","A88824780","SI","FTW","3","FTW",""
"707342","{ACCUTREND COLEST TIRAS X 25","ROCHE","CONTROL COLESTEROL               (AC.MA)","ACCUTREND","4015630000364","5000111","A03340035","SI","FTW","3","FTW",""
"743171","{ACCUTREND CONTROL CH1 X1.5ML","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","7791864150576","","A99902254","SI","FTW","3","FTW",""
"743172","{ACCUTREND CONTROL G X2 X4ML","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","7791864150583","","A99902255","SI","FTW","3","FTW",""
"707348","{ACCUTREND GC (REFLECT) X 1","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","7791864159128","","A03340043","SI","FTW","3","FTW",""
"707345","{ACCUTREND GLUCO TIRAS X 25","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","7791864150057","5000101","A03340039","SI","FTW","3","FTW",""
"1019389","ACCUTREND GLUCO TIRAS X 25","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","4015630000609","5000101","A88900048","SI","FTW","1","FTW",""
"707344","{ACCUTREND GLUCO TIRAS X 50","ROCHE","CONTROL GLUCOSA                  (AC.MA)","ACCUTREND","7791864150064","5000102","A03340037","SI","FTW","3","FTW",""
"969021","ACCUTREND PLUS MEDIDOR X 1","ROCHE","CONTROL COLESTEROL               (AC.MA)","ACCUTREND","4015630056163","","A88888241","SI","FTW","1","FTW",""
"743519","{ACREA CR INTIMA FEMENINA X 3","AULO GELIO ARG","GEL Y CREMA INTIMA               (AC.MA)","ACREA","7793094000959","","A99905412","SI","FTW","3","FTW",""
"100100000000097247","ADHESUR APOS PROTEC    CAJX 8","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066097036","","A88993618","SI","FTW","1","FTW",""
"100100000000032430","ADHESUR APOS PROTEC 20 CAJX 8","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090013","","A88931331","SI","FTW","1","FTW",""
"100100000000036336","ADHESUR CINTA C/DI 12.5X9M","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092123","","A88935911","SI","FTW","1","FTW",""
"100100000000091395","ADHESUR CINTA C/DI 12.5X9X24","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066092123","","A88989780","SI","FTW","1","FTW",""
"100100000000036337","ADHESUR CINTA C/DI 25  X9M","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092130","","A88935912","SI","FTW","1","FTW",""
"100100000000091397","ADHESUR CINTA C/DI 25X9MX12","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066092130","","A88989781","SI","FTW","1","FTW",""
"100100000000036338","ADHESUR CINTA C/DI 50  X9MX1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092147","","A88935913","SI","FTW","1","FTW",""
"100100000000091404","ADHESUR CINTA C/DI 50X9MX24","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066090112","","A88989783","SI","FTW","1","FTW",""
"100100000000091403","ADHESUR CINTA C/DI 50X9MX6","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","1779806609214","","A88989782","SI","FTW","1","FTW",""
"100100000000065954","ADHESUR CINTA S/DI 12.5X9MX 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090112","","A88965734","SI","FTW","1","FTW",""
"100100000000065956","ADHESUR CINTA S/DI 25  X9MX 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090129","","A88965735","SI","FTW","1","FTW",""
"100100000000120475","ADHESUR CINTA S/DI 25  X9MX12","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066090129","","A50008495","SI","FTW","1","FTW",""
"100100000000065957","ADHESUR CINTA S/DI 50  X9MX1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090136","","A88965736","SI","FTW","1","FTW",""
"100100000000091405","ADHESUR CINTA S/DI 50X9MX6X6","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066090136","","A88989784","SI","FTW","1","FTW",""
"100100000000065958","ADHESUR CINTA/A 19MMX2MX6BLAN","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090143","","A88965737","SI","FTW","1","FTW",""
"100100000000065959","ADHESUR CINTA/A 19MMX2MX6NEGR","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090150","","A88965738","SI","FTW","1","FTW",""
"743462","ADHESUR PARCHE ELECTRICO X 2","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","7798066096022","","A99904833","SI","FTW","1","FTW",""
"100100000000065951","{ADHESUR PARCHE POR CAJ 25X2U","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","","","A88965732","SI","FTW","3","FTW",""
"100100000000065950","ADHESUR PARCHE POR C/H CAJX2U","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","7798066090075","","A88965733","SI","FTW","1","FTW",""
"100100000000107309","{ADHESUR PARCHE POR H/C 25X2U","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","","","A89007766","SI","FTW","3","FTW",""
"100100000000091606","ADHESUR PARCHE POR H/C CAJX25","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","7798066090037","","A88989801","SI","FTW","1","FTW",""
"100100000000091605","ADHESUR PARCHE POR SOB CAJX25","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","7798066090020","","A88989800","SI","FTW","1","FTW",""
"743634","ADHESUR PARCHE POROSO SOBR X2","TELGATEX","PARCHE                           (AC.MA)","ADHESUR","7798066096015","","A99906530","SI","FTW","1","FTW",""
"100100000000065948","ADHESUR TEAD O/Z N1   12.5X1M","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092109","","A88965730","SI","FTW","1","FTW",""
"839902","ADHESUR TEAD O/Z N3 12.5X2X24","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066092017","","A88850541","SI","FTW","1","FTW",""
"839903","ADHESUR TEAD O/Z N4 25  X2X16","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092024","","A88850542","SI","FTW","1","FTW",""
"100100000000173449","ADHESUR TEAD O/Z N5 12.5X4X 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092031","","A50062838","SI","FTW","1","FTW",""
"839899","ADHESUR TEAD O/Z N5 12.5X4X18","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066092031","","A88850537","SI","FTW","1","FTW",""
"100100000000173450","ADHESUR TEAD O/Z N6 25  X4X 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092048","","A50062839","SI","FTW","1","FTW",""
"838470","ADHESUR TEAD O/Z N6 25  X4X12","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","1779806609204","","A88850538","SI","FTW","1","FTW",""
"100100000000173451","ADHESUR TEAD O/Z N7 50  X4X 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092055","","A50062840","SI","FTW","1","FTW",""
"839900","ADHESUR TEAD O/Z N7 50  X4X 6","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","1779806609205","","A88850539","SI","FTW","1","FTW",""
"839904","ADHESUR TEAD O/Z N8 75  X4X 1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092062","","A88850543","SI","FTW","1","FTW",""
"839901","ADHESUR TEAD O/Z N9 100X4X 3","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","1779806609207","","A88850540","SI","FTW","1","FTW",""
"100100000000173452","ADHESUR TEAD O/Z N9 10X4 X1","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066092079","","A50062841","SI","FTW","1","FTW",""
"100100000000065949","ADHESUR TEAD SPORT      X50MM","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","7798066090051","","A88965731","SI","FTW","1","FTW",""
"100100000000091392","ADHESUR TEAD SPORT X50MMX8","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","17798066090051","","A88989779","SI","FTW","1","FTW",""
"100100000000104711","ADHESUR TUB TE AD O/Z 25X8X10","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH505","A89003921","SI","FTW","1","FTW",""
"100100000000166526","ADHESUR TUB TE AD O/Z 25X9","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH501","A50055782","SI","FTW","1","FTW",""
"100100000000104712","ADHESUR TUB TE AD O/Z 50X8X10","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH506","A89003922","SI","FTW","1","FTW",""
"100100000000166529","ADHESUR TUB TE AD O/Z 50X9","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH502","A50055783","SI","FTW","1","FTW",""
"100100000000104713","ADHESUR TUB TE AD O/Z 75X8X10","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH507","A89003923","SI","FTW","1","FTW",""
"100100000000104714","ADHESUR TUB TE AD O/Z100X8X10","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH508","A89003924","SI","FTW","1","FTW",""
"100100000000166531","ADHESUR TUB TE AD O/Z100X9","TELGATEX","TELA ADHESIVA                    (AC.MA)","ADHESUR","","ADH504","A50055784","SI","FTW","1","FTW",""
