"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000209"," * ATENOLOL 50 MG X10","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001424","& AEROCAMARA ADULTO-AEROSPACER","INTERNACIONAL ARGENTINO (LAB)","AEROCAMARA                       (AC.ME)","AERO100","7798161677881","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000206","* AMLODIPINA 10MG  X10 ","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000148","* AMLODIPINA 5MG X10 ","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000132","* ARTROSTOP CALAMBRE X 1 SOBRE","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000702","* ATENOLOL 100 MG X10  ","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000125","* CHIA OMEGA 3X10- NATUFARMA","NATUFARMA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000719","* DICLOFENAC POTAS 75MG X10","BIOTENK","ANTIINFLAMATORIO","DICLOFENAC","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000143","* DICLOFENAC SODI 75MG X15","LEPETIT","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000604","* DIFENHIDRAMINA 50 MG X15 ","DENVER FARMA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000683","* DUFLEGRIP  X10 ","BAYER CONSUMER","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000052","* ENALAPRIL 20 MG X10 ","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000594","* FAMOTIDINA 20 MG X 10","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000179","* FAMOTIDINA 40 MG X10 ","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000190","* GENIOL FORTE 650 MG X8","ELEA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000121","* GENIOL PARACETAMOL 1MG X8 ","ELEA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000188","* GENIOL PARACETAMOL 500 MG X8","ELEA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000704","* KETOROLAC DORIXINA FORTE 10 ","ROEMMERS","ANTIINFLAMATORIO","DICLOFENAC","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000582","* LECITINA 1200","NATURA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000113","* MAGNESIO 100 X10 NATUFARMA","NATUFARMA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000626","* PANCLO B12 DICLO SOD BETAMET","DENVER FARMA","ANTIINFLAMATORIO","DICLOFENAC","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000197","* PANCLOGESIC X10 DICLOF+PARAC","DENVER FARMA","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000130","* PARACETAMOL 1G  X10 ","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001304","* PARACETAMOL 1G X5 -LAZAR","LAZAR","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000691","* PARACETAMOL 500 MG  X10","BAYER (PH)","","","","","","SI","GRUPO BIOSALUD","3","GRUPO BIOSALUD",""
"134940000000000835","* PARACETAMOL 500 MG  X10","BAYER (PH)","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
