"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000589","* COLIBRI ANILINA VARIOS  ","VARIOS","","","9991","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"738898","3 CLAVELES ALICATE     W12141","BUENO HERMANOS SA","ALICATE                          (PE.AC)","3 CLAVELES","8410990121418","CTW12141","A88836860","SI","FTW","1","FTW",""
"738899","3 CLAVELES ALICATE   06525","BUENO HERMANOS SA","ALICATE                          (PE.AC)","3 CLAVELES","8410990065255","","A88836861","SI","FTW","1","FTW",""
"738897","3 CLAVELES ALICATE C/CUT06524","BUENO HERMANOS SA","ALICATE                          (PE.AC)","3 CLAVELES","8410990065248","","A88836859","SI","FTW","1","FTW",""
"100100000000129159","3 CLAVELES CORT/UñAS 12415","","","","8410990124143","","A50017464","SI","FTW","1","FTW",""
"100100000000129160","3 CLAVELES CORT/UñAS 12419","","","","8410990124198","","A50017465","SI","FTW","1","FTW",""
"100100000000129163","3 CLAVELES PZA DEP 12232","","","","8410990122323","","A50017470","SI","FTW","1","FTW",""
"100100000000129164","3 CLAVELES PZA DEP 12233","","","","8410990122330","","A50017472","SI","FTW","1","FTW",""
"100100000000129165","3 CLAVELES PZA DEP 12234","","","","8410990122347","","A50017475","SI","FTW","1","FTW",""
"100100000000129166","3 CLAVELES PZA DEP 12235","","","","8410990122354","","A50017476","SI","FTW","1","FTW",""
"722072","3 CLAVELES PZA DEP ANCHA NIQ","BUENO HERMANOS SA","PINZA PARA DEPILACION            (PE.AC)","3 CLAVELES","","","A88814402","SI","FTW","1","FTW",""
"722073","3 CLAVELES PZA DEP EST NEGRA","BUENO HERMANOS SA","PINZA PARA DEPILACION            (PE.AC)","3 CLAVELES","","","A88814403","SI","FTW","1","FTW",""
"722074","3 CLAVELES PZA DEP EST NIQ","BUENO HERMANOS SA","PINZA PARA DEPILACION            (PE.AC)","3 CLAVELES","","","A88814404","SI","FTW","1","FTW",""
"722075","3 CLAVELES PZA DEP EST NIQ OB","BUENO HERMANOS SA","PINZA PARA DEPILACION            (PE.AC)","3 CLAVELES","","","A88814405","SI","FTW","1","FTW",""
