"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000001318","* ALCANFOR  X 1","SEISEME","ALCANFOR                       (A.A.V.O)","DEER","8881","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001105","* BARRAS DE AZUFRE CAJA X5","FRADEALCO","AZUFRE                         (A.A.V.O)","PUROCOL","7792378002306","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000180944","317 ALC.GEL 420CC","HEDALY S.A.","ALCOHOL                        (A.A.V.O)","317","7792321008270","","","SI","FTW","1","FTW",""
"100100000000111922","{ACTIVE PROT ALCOH AEROS X150","ACTIVE COSMETIC","ALCOHOL                        (A.A.V.O)","ACTIVE","7798332021161","AP03","A89011815","SI","FTW","3","FTW",""
"100100000000111921","{ACTIVE PROT ALCOH SANIT X150","ACTIVE COSMETIC","ALCOHOL                        (A.A.V.O)","ACTIVE","7798332021147","AP02","A89011814","SI","FTW","3","FTW",""
"100100000000111920","{ACTIVE PROT ALCOHOL GEL X100","ACTIVE COSMETIC","ALCOHOL                        (A.A.V.O)","ACTIVE","7798332021178","AP01","A89011813","SI","FTW","3","FTW",""
"134940000000000368","AGUA DE ALIBOUR  X 100CC SANAD","SANADROG","LABORATORIO                    (A.A.V.O)","SANADROG","7798068824135","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000153906","AGUA DEST.BRAUN S/C 20X500ML","B.BRAUN","AGUA DESTILADA                 (A.A.V.O)","AGUA DESTILADA BRAUN","1000000035155","","A50042724","SI","FTW","1","FTW",""
"100100000000167452","{AGUA ESTERIL JAYOR INY 500","JAYOR","SOLUCION FISIOLOGICA           (A.A.V.O)","AGUA ESTERIL JAYOR","","","A50056748","SI","FTW","3","FTW",""
"100100000000134274","{AGUA ESTERIL P/I.QUIR.2000X4","HLB PHARMA","SOLUCION FISIOLOGICA           (A.A.V.O)","AGUA ESTERIL HLB","","","A50022674","SI","FTW","3","FTW",""
"100100000000111561","AKTIOL AERO ALCOHOL X 143","QUERUCLOR","ALCOHOL                        (A.A.V.O)","AKTIOL","7791905023623","","A89011314","SI","FTW","1","FTW",""
"100100000000111817","{AKTIOL GEL ALCOHOL BOLS X220","QUERUCLOR","ALCOHOL                        (A.A.V.O)","AKTIOL","7791905023609","","A89010951","SI","FTW","3","FTW",""
"100100000000111844","ALANCOS ALCOH GEL NEUTRO X250","GARRE GUEVARA SR","ALCOHOL                        (A.A.V.O)","ALANCOS","7798150110436","","A89011519","SI","FTW","1","FTW",""
"134940000000000365","ALCOHOL BORICADO X100 SANADROG","SANADROG","LABORATORIO                    (A.A.V.O)","SANADROG","7798068824128","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000120097","ALCOPROTECT ALIM 96%    X 250","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100537","PT926389","A50008116","SI","FTW","1","FTW",""
"100100000000112055","ALCOPROTECT ALIM 96%    X 500","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100384","PT925468","A89011835","SI","FTW","1","FTW",""
"100100000000125682","ALCOPROTECT ALIM 96%    X1LT.","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139101121","","A50013858","SI","FTW","1","FTW",""
"100100000000120159","ALCOPROTECT GEL NEU BIDON X5L","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100629","PT926595","A50008178","SI","FTW","1","FTW",""
"100100000000112657","ALCOPROTECT GEL NEU C/TAX 500","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100667","PT926545","A50000567","SI","FTW","1","FTW",""
"100100000000037071","{ALCOPROTECT GEL NEU C/TAX250","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100438","PT925610","A88936326","SI","FTW","3","FTW",""
"100100000000120098","ALCOPROTECT GEL NEU C/V X1000","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100674","PT926546","A50008117","SI","FTW","1","FTW",""
"100100000000120160","ALCOPROTECT GEL NEU D/P X 500","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100650","PT926596","A50008179","SI","FTW","1","FTW",""
"100100000000120099","ALCOPROTECT GEL NEU FLOWX 250","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100643","PT926896","A50008118","SI","FTW","1","FTW",""
"100100000000120095","ALCOPROTECT MED 96%     X 250","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100513","PT926390","A50008114","SI","FTW","1","FTW",""
"100100000000104725","ALCOPROTECT MED 96%     X 500","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100377","PT925467","A89005136","SI","FTW","1","FTW",""
"100100000000120096","ALCOPROTECT MED 96%     X1000","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","7790139100360","PT925466","A50008115","SI","FTW","1","FTW",""
"100100000000116219","ALCOPROTECT MED 96%   12X 500","PORTA HNOS","ALCOHOL                        (A.A.V.O)","ALCOPROTECT","1779013910037","","A50004181","SI","FTW","1","FTW",""
"100100000000109553","ALCOSNAP ALCOHOL MONOD 15U BO","FRADEALCO","ALCOHOL                        (A.A.V.O)","ALCOSNAP","7730951360047","","A89008281","SI","FTW","1","FTW",""
"100100000000112363","ALCOSNAP ALCOHOL MONOD 30U BO","FRADEALCO","ALCOHOL                        (A.A.V.O)","ALCOSNAP","7730951360030","","A50000264","SI","FTW","1","FTW",""
"100100000000112362","ALCOSNAP ALCOHOL MONODX200U C","FRADEALCO","ALCOHOL                        (A.A.V.O)","ALCOSNAP","7730951360054","","A50000263","SI","FTW","1","FTW",""
"100100000000126314","{ALFAPARF ALC SANITIZ 70% X75","ALFAPARF GROUP SPA","ALCOHOL                        (A.A.V.O)","ALFAPARF","7798180961220","PF021965","A50014503","SI","FTW","3","FTW",""
"100100000000126315","{ALFAPARF ALC SANITIZ 70%X200","ALFAPARF GROUP SPA","ALCOHOL                        (A.A.V.O)","ALFAPARF","7798180961213","PF021964","A50014504","SI","FTW","3","FTW",""
"100100000000066801","ALGABO ALC GEL STARWARS  X 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274005015","AL4040873","A88964899","SI","FTW","1","FTW",""
"100100000000111900","ALGABO ALCOH AER-UL 70% 140ML","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199059","AL6040882","A89010957","SI","FTW","1","FTW",""
"100100000000101223","ALGABO ALCOH GEL 250 ESP/MAN0","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274198038","","A89000701","SI","FTW","1","FTW",""
"919301","ALGABO ALCOH GEL COC&VAI X300","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274000041","AL6040871","A88869100","SI","FTW","1","FTW",""
"100100000000122002","ALGABO ALCOH GEL ECO-PACK","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199592","AL6040921","A50010043","SI","FTW","1","FTW",""
"100100000000137947","ALGABO ALCOH GEL FRESH   X250","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200182","AL6040928","A50026237","SI","FTW","1","FTW",""
"100100000000124449","ALGABO ALCOH GEL FROZEN  X 70","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199981","","A50012598","SI","FTW","1","FTW",""
"100100000000133684","ALGABO ALCOH GEL KITTY   X 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274001353","","A50022065","SI","FTW","1","FTW",""
"924405","ALGABO ALCOH GEL M C/VAL X 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274196515","AL6040875","A88871852","SI","FTW","1","FTW",""
"923495","ALGABO ALCOH GEL M C/VAL X300","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274196522","AL6040870","A88871166","SI","FTW","1","FTW",""
"923496","ALGABO ALCOH GEL M C/VAL X750","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274196539","AL6040880","A88871167","SI","FTW","1","FTW",""
"100100000000063488","ALGABO ALCOH GEL PACK REPX300","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274004735","AL6040876","A88962422","SI","FTW","1","FTW",""
"100100000000122016","ALGABO ALCOH GEL POCKET","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199677","AL6040922","A50010057","SI","FTW","1","FTW",""
"100100000000111527","ALGABO ALCOH GEL POM/UL 90ML","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199004","","A89010910","SI","FTW","1","FTW",""
"100100000000052102","ALGABO ALCOH GEL SANIT HOL 30","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274003608","AL6040879","A88949261","SI","FTW","1","FTW",""
"100100000000124448","ALGABO ALCOH GEL SPAIDER X 70","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199998","","A50012599","SI","FTW","1","FTW",""
"919302","{ALGABO ALCOH GEL TVE&MEN X300","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274000065","AL6040872","A88869101","SI","FTW","3","FTW",""
"100100000000111902","ALGABO ALCOH GEL ULT 70D/P220","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199028","","A89010959","SI","FTW","1","FTW",""
"100100000000111526","ALGABO ALCOH GEL ULT X70","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274198991","","A89010909","SI","FTW","1","FTW",""
"100100000000111312","ALGABO ALCOH GEL ULT/70% X500","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274198960","","A89011706","SI","FTW","1","FTW",""
"100100000000111525","ALGABO ALCOH GEL ULT/POM X150","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199011","","A89010908","SI","FTW","1","FTW",""
"100100000000122017","ALGABO ALCOH GEL ULTRA   X220","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199837","AL6040923","A50010058","SI","FTW","1","FTW",""
"100100000000136228","ALGABO ALCOH GEL ULTRA   X250","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200243","AL6040926","A50024666","SI","FTW","1","FTW",""
"100100000000124439","ALGABO ALCOH GEL ZOMBIE PX 60","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199769","","A50012589","SI","FTW","1","FTW",""
"100100000000121126","ALGABO ALCOH REP ULTR 70 X450","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199097","AL6040910","A50009157","SI","FTW","1","FTW",""
"100100000000111901","ALGABO ALCOH SPRAY   X450","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199042","","A89010958","SI","FTW","1","FTW",""
"100100000000121124","ALGABO ALCOH SPRAY GLIC  X125","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199288","AL6040912","A50009155","SI","FTW","1","FTW",""
"100100000000112360","ALGABO ALCOH SPRAY GLIC  X500","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199080","","A50000261","SI","FTW","1","FTW",""
"100100000000124450","ALGABO ALCOH SPRAY KITTY X 60","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200007","","A50012600","SI","FTW","1","FTW",""
"100100000000124452","ALGABO ALCOH SPRAY ULTRA X 60","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200021","","A50012602","SI","FTW","1","FTW",""
"100100000000124451","ALGABO ALCOH SPRAY ZOMBIEX 60","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200014","","A50012601","SI","FTW","1","FTW",""
"100100000000122018","ALGABO ALCOH ULTRA BIDON X4LT","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199103","AL6040911","A50010059","SI","FTW","1","FTW",""
"100100000000122014","ALGABO ALCOH ULTRA GLIC BX4LT","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199066","AL6040908","A50010055","SI","FTW","1","FTW",""
"100100000000122015","ALGABO ALCOH ULTRA SUPERFX4LT","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199073","AL6040909","A50010056","SI","FTW","1","FTW",""
"100100000000144760","ALGABO BABY OLEO CALC X 900","ALGABO SA","OLEO CALCAREO                  (A.A.V.O)","ALGABO","7791274200656","AL3362011","A50033220","SI","FTW","1","FTW",""
"100100000000131673","ALGABO BABY YODA WIP ANTIBX10","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199967","AL4062003","A50020033","SI","FTW","1","FTW",""
"100100000000131674","ALGABO BABY YODA WIP ANTIBX25","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199950","AL4062004","A50020034","SI","FTW","1","FTW",""
"100100000000063470","ALGABO DORY SANI C/HOLDERX 30","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274004537","AL4040003","A88962404","SI","FTW","1","FTW",""
"100100000000140831","ALGABO OLEO CALCAREO     X500","ALGABO SA","OLEO CALCAREO                  (A.A.V.O)","ALGABO","7791274200663","AL3362008","A50029202","SI","FTW","1","FTW",""
"100100000000140832","ALGABO OLEO CALCAREO REP X500","ALGABO SA","OLEO CALCAREO                  (A.A.V.O)","ALGABO","7791274200649","AL3362007","A50029203","SI","FTW","1","FTW",""
"100100000000119183","ALGABO SALLY ALCOH GEL  X30","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274198953","","A50007182","SI","FTW","1","FTW",""
"100100000000137946","ALGABO SALLY ALCOHOL GEL PERF","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274200472","AL2840881","A50026236","SI","FTW","1","FTW",""
"100100000000122034","ALGABO SANITIZ FROZEN CAJX 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199219","AL4040875","A50010076","SI","FTW","1","FTW",""
"100100000000122035","ALGABO SANITIZ SPIDER CAJX 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199196","AL4240875","A50010078","SI","FTW","1","FTW",""
"100100000000122037","ALGABO SANITIZ T.STOR CAJX 75","ALGABO SA","ALCOHOL                        (A.A.V.O)","ALGABO","7791274199233","AL3640875","A50010079","SI","FTW","1","FTW",""
"664997","{ALGISPRAY ENV X 250 ML","CASASCO","ANALGESICO REFRIGERANTE        (A.A.V.O)","ALGISPRAY","7791909401472","","A04200202","SI","FTW","3","FTW",""
"100100000000067376","ALIVIO AZUFRE BLIST 20 X 5","ALIVIO","AZUFRE                         (A.A.V.O)","ALIVIO","7798001670027","","A88967844","SI","FTW","1","FTW",""
"100100000000097624","ALIVIO AZUFRE CAJA    X 5","ALIVIO","AZUFRE                         (A.A.V.O)","ALIVIO","7798001670096","","A88998044","SI","FTW","1","FTW",""
"709737","ALIVIO AZUFRE CAJA  X  96","ALIVIO","AZUFRE                         (A.A.V.O)","ALIVIO","7798001670058","","A64000101","SI","FTW","1","FTW",""
"709738","ALIVIO AZUFRE CAJA 20 X 5","ALIVIO","AZUFRE                         (A.A.V.O)","ALIVIO","7798001670072","","A64000201","SI","FTW","1","FTW",""
"100100000000061745","{ALKOLY EXHIB 12 UNID X 30ML","KUIDAR SRL","ALCOHOL                        (A.A.V.O)","ALKOLY","7798164569053","","A88959588","SI","FTW","3","FTW",""
"100100000000112915","{ANDRE.L ALCOHOL GEL C/V X250","DOMINIQUE VAL SA","ALCOHOL                        (A.A.V.O)","ANDRE L. (ANDRE LATOUR)","7798340700195","","A50000828","SI","FTW","3","FTW",""
"944921","ANDRE.L BIO SPOR ALC GEL X 90","DOMINIQUE VAL SA","ALCOHOL                        (A.A.V.O)","ANDRE L. (ANDRE LATOUR)","7790402560105","DV56010","A88876040","SI","FTW","1","FTW",""
"100100000000116837","{ANDRE.L SPRAY SANITIZAN X200","DOMINIQUE VAL SA","ANTISEPTICO                    (A.A.V.O)","ANDRE L. (ANDRE LATOUR)","7798340701918","","A50004802","SI","FTW","3","FTW",""
"100100000000112015","AROMASS ALC EN GEL BAHIA X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211447","","A89006839","SI","FTW","1","FTW",""
"100100000000112016","AROMASS ALC EN GEL BELLA X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211485","","A89006840","SI","FTW","1","FTW",""
"100100000000111408","AROMASS ALC EN GEL CO/VA X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211461","","A89011770","SI","FTW","1","FTW",""
"100100000000112018","AROMASS ALC EN GEL GARBO X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211454","","A89006842","SI","FTW","1","FTW",""
"100100000000112019","AROMASS ALC EN GEL LADY  X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211508","","A89006843","SI","FTW","1","FTW",""
"100100000000112021","AROMASS ALC EN GEL MILLI X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211478","","A89006845","SI","FTW","1","FTW",""
"100100000000111378","AROMASS ALC EN GEL NEUTR X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211430","","A89006780","SI","FTW","1","FTW",""
"100100000000112017","AROMASS ALC EN GEL PETIT X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211492","","A89006841","SI","FTW","1","FTW",""
"100100000000112020","AROMASS ALC EN GEL RICCI X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211515","","A89006844","SI","FTW","1","FTW",""
"100100000000111410","AROMASS ALC EN GEL VERBE X 65","AROMASS AIR BREEZE","ALCOHOL                        (A.A.V.O)","AROMASS","7798273211522","","A89011771","SI","FTW","1","FTW",""
"100100000000115184","ASEPLUS ALC GEL FCO BOMBAX250","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570519","","A50003140","SI","FTW","1","FTW",""
"100100000000115185","ASEPLUS ALC GEL FCO BOMBAX500","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570601","","A50003142","SI","FTW","1","FTW",""
"100100000000115186","ASEPLUS ALCOH GEL FCO X 135ML","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570489","","A50003135","SI","FTW","1","FTW",""
"100100000000115187","ASEPLUS ALCOH GEL POMO X 55ML","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570502","","A50003134","SI","FTW","1","FTW",""
"100100000000118741","ASEPLUS KIT CUIDADO PERSONAL","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570595","","A50006734","SI","FTW","1","FTW",""
"100100000000115190","ASEPLUS SOL SANIT.AEROSOLX240","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570564","","A50003147","SI","FTW","1","FTW",""
"100100000000115191","ASEPLUS SOL SANIT.SPRAY X  60","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570557","","A50003145","SI","FTW","1","FTW",""
"100100000000115192","ASEPLUS SOL SANIT.SPRAY X 200","MERLINO (LAB)","ANTIBACTERIANO                 (A.A.V.O)","ASEPLUS","7798024570588","","A50003146","SI","FTW","1","FTW",""
"100100000000139985","{ASEPSIS ALCOH AERO     X190ML","FYF SRL (LAB)","ALCOHOL                        (A.A.V.O)","ASEPSIS","736684205911","","A50028328","SI","FTW","3","FTW",""
"100100000000139984","{ASEPSIS ALCOH GEL BIDON X5LT","FYF SRL (LAB)","ALCOHOL                        (A.A.V.O)","ASEPSIS","736684205904","","A50028327","SI","FTW","3","FTW",""
"100100000000139982","{ASEPSIS ALCOH GEL POMO X 60ML","FYF SRL (LAB)","ALCOHOL                        (A.A.V.O)","ASEPSIS","736684205881","","A50028325","SI","FTW","3","FTW",""
"100100000000139983","{ASEPSIS ALCOH GEL POMO X220ML","FYF SRL (LAB)","ALCOHOL                        (A.A.V.O)","ASEPSIS","736684205898","","A50028326","SI","FTW","3","FTW",""
"100100000000139986","{ASEPSIS JAB LIQ HIPO SANIX5LT","FYF SRL (LAB)","ANTISEPTICO                    (A.A.V.O)","ASEPSIS","736684223045","","A50028329","SI","FTW","3","FTW",""
"100100000000139988","{ASEPSIS JAB LIQ HIPO SAX250ML","FYF SRL (LAB)","ANTISEPTICO                    (A.A.V.O)","ASEPSIS","736684238933","","A50028331","SI","FTW","3","FTW",""
"100100000000139987","{ASEPSIS JAB LIQ MANOS SANX5LT","FYF SRL (LAB)","ANTISEPTICO                    (A.A.V.O)","ASEPSIS","736684205928","","A50028330","SI","FTW","3","FTW",""
"100100000000139989","{ASEPSIS JAB LIQ MANOS SX250ML","FYF SRL (LAB)","ANTISEPTICO                    (A.A.V.O)","ASEPSIS","736684238926","","A50028332","SI","FTW","3","FTW",""
"100100000000143491","ASEPTOCREM ALCOHOL 70%   X1LT","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925700407","","A50031928","SI","FTW","1","FTW",""
"100100000000143492","ASEPTOCREM ALCOHOL 70%   X5LT","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925700506","","A50031929","SI","FTW","1","FTW",""
"100100000000143490","{ASEPTOCREM ALCOHOL 70% SP200","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925885715","","A50031927","SI","FTW","3","FTW",""
"100100000000143488","ASEPTOCREM ALCOHOL GEL   X1LT","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925840264","","A50031925","SI","FTW","1","FTW",""
"100100000000143489","ASEPTOCREM ALCOHOL GEL   X5LT","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925840233","","A50031926","SI","FTW","1","FTW",""
"100100000000143484","{ASEPTOCREM ALCOHOL GEL  X 65","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925840226","","A50031921","SI","FTW","3","FTW",""
"100100000000143485","{ASEPTOCREM ALCOHOL GEL  X125","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925817075","","A50031922","SI","FTW","3","FTW",""
"100100000000143486","{ASEPTOCREM ALCOHOL GEL  X250","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925870162","","A50031923","SI","FTW","3","FTW",""
"100100000000143487","{ASEPTOCREM ALCOHOL GEL  X500","LUXOR GARFIELD (LAB)","ALCOHOL                        (A.A.V.O)","ASEPTOCREM","7797925840165","","A50031924","SI","FTW","3","FTW",""
"100100000000104915","ASKINA 001419N HIDROGEL X 15G","B.BRAUN","ANTIBACTERIANO                 (A.A.V.O)","ASKINA","","B001419N","A89005221","SI","FTW","1","FTW",""
"676155","{ATOMO DESINFL DEPOR CR  X 30G","IMVI","ANALGESICO REFRIGERANTE        (A.A.V.O)","ATOMO","7798024550146","","A86100133","SI","FTW","3","FTW",""
"676157","ATOMO DESINFL GELDIC VL X 30G","MILLET (LAB)","ANALGESICO REFRIGERANTE        (A.A.V.O)","ATOMO","7791984001857","","A86100135","SI","FTW","1","FTW",""
