"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000164330","47STREET SET VASO NEGRO RETA","","","","7798095673546","","A50053499","SI","FTW","1","FTW",""
"100100000000164331","47STREET SET VASO ROSA RETA","","","","7798095673560","","A50053501","SI","FTW","1","FTW",""
"100100000000164332","47STREET SET VASO VERDE RETA","","","","7798095673553","","A50053500","SI","FTW","1","FTW",""
"100100000000162048","A WISH DEC ADAP/U CU/COCH264N","","","","512398002646","","A50051142","SI","FTW","1","FTW",""
"100100000000162045","A WISH DEC ADAP/U CU/COCH264U","","","","512398002646","","A50051140","SI","FTW","1","FTW",""
"100100000000162788","A WISH DEC ALMOH AMAMANT 806","","","","5015015018606","","A50051918","SI","FTW","1","FTW",""
"100100000000162792","A WISH DEC ALMOH AMAMANT 816","","","","501501501816","","A50051922","SI","FTW","1","FTW",""
"100100000000162531","A WISH DEC ALMOH/TERAP POS222","","","","","","A50051653","SI","FTW","1","FTW",""
"100100000000162963","A WISH DEC BOLSA DORMIR  228","","","","912392322281","","A50052098","SI","FTW","1","FTW",""
"100100000000162936","A WISH DEC CAMBIADOR CR 403","","","","3212300094031","","A50052071","SI","FTW","1","FTW",""
"100100000000162937","A WISH DEC CAMBIADOR GOMA 275","","","","3212300092754","","A50052072","SI","FTW","1","FTW",""
"100100000000162941","A WISH DEC CAMBIADOR PLEG 277","","","","512398452779","","A50052076","SI","FTW","1","FTW",""
"100100000000162944","A WISH DEC CAMBIADOR PL/T 278","","","","512398152785","","A50052078","SI","FTW","1","FTW",""
"100100000000162940","A WISH DEC CAMBIADOR PREM 276","","","","3224010142766","","A50052075","SI","FTW","1","FTW",""
"100100000000162938","A WISH DEC CAMBIADOR SOBRE402","","","","512398454025","","A50052073","SI","FTW","1","FTW",""
"100100000000162943","A WISH DEC CAMBIADOR SO/T 404","","","","512398454049","","A50052077","SI","FTW","1","FTW",""
"100100000000162950","A WISH DEC CHICHONERA EST 070","","","","3200000000703","","A50052084","SI","FTW","1","FTW",""
"100100000000162949","A WISH DEC CHICHONERA EST 073","","","","3200000000735","","A50052083","SI","FTW","1","FTW",""
"100100000000162948","A WISH DEC CHICHONERA EST 75","","","","3200000000759","","A50052082","SI","FTW","1","FTW",""
"100100000000162946","A WISH DEC CHICHONERA LI 071","","","","3200000000711","","A50052080","SI","FTW","1","FTW",""
"100100000000162947","A WISH DEC CHICHONERA LI 072","","","","3200000000728","","A50052081","SI","FTW","1","FTW",""
"100100000000162945","A WISH DEC CHICHONERA LI 074","","","","3200000000742","","A50052079","SI","FTW","1","FTW",""
"100100000000162505","A WISH DEC CUELL CERV R/N209U","","","","512398452090","","A50051623","SI","FTW","1","FTW",""
"100100000000162060","A WISH DEC CUELLITO CERV 208N","","","","512398452083","","A50051154","SI","FTW","1","FTW",""
"100100000000162059","A WISH DEC CUELLITO CERV 208U","","","","512398452083","","A50051151","SI","FTW","1","FTW",""
"100100000000162061","A WISH DEC CUELLITO CERV208NA","","","","512398452083","","A50051155","SI","FTW","1","FTW",""
"100100000000162529","A WISH DEC ESTUCHE CRIST 244V","","","","8522875442430","","A50051651","SI","FTW","1","FTW",""
"100100000000162955","A WISH DEC FULAR C/ELAS 246","","","","8522875222469","","A50052090","SI","FTW","1","FTW",""
"100100000000162953","A WISH DEC FULAR LARGE 249","","","","8521875222493","","A50052087","SI","FTW","1","FTW",""
"100100000000162952","A WISH DEC FULAR MEDIUM 248","","","","8521875222486","","A50052086","SI","FTW","1","FTW",""
"100100000000162951","A WISH DEC FULAR SMALL 247","","","","8521875222479","","A50052085","SI","FTW","1","FTW",""
"100100000000162954","A WISH DEC FULAR XLARGE 250","","","","8521875222509","","A50052088","SI","FTW","1","FTW",""
"100100000000162790","A WISH DEC NID/CONT BASE 811","","","","254124180838","","A50051920","SI","FTW","1","FTW",""
"100100000000162791","A WISH DEC NID/CONT S/BA 808","","","","512398472210","","A50051921","SI","FTW","1","FTW",""
"100100000000162523","A WISH DEC PINTORCITO  1046","","","","512398410465","","A50051643","SI","FTW","1","FTW",""
"100100000000162521","A WISH DEC PORTA ENF/PLU 227","","","","5123980022710","","A50051641","SI","FTW","1","FTW",""
"100100000000162522","A WISH DEC PORTA MAM/TER 245","","","","8522875212453","","A50051642","SI","FTW","1","FTW",""
"100100000000162530","A WISH DEC PROTECT/MA X6 243","","","","8522875442439","","A50051652","SI","FTW","1","FTW",""
"100100000000162058","A WISH DEC RED/ACOLCH H/513NA","","","","5015015015135","","A50051148","SI","FTW","1","FTW",""
"100100000000162057","A WISH DEC RED/ACOLCH H/C513N","","","","5015015015135","","A50051146","SI","FTW","1","FTW",""
"100100000000162056","A WISH DEC RED/ACOLCH H/C513U","","","","5015015015135","","A50051144","SI","FTW","1","FTW",""
"100100000000162789","A WISH DEC SET AMAMANTAR 807","","","","5015015018075","","A50051919","SI","FTW","1","FTW",""
"100100000000162975","A WISH DECO APEGO    ART826","","","","","","A50052111","SI","FTW","1","FTW",""
"100100000000162974","A WISH DECO APEGO    ART827","","","","","","A50052110","SI","FTW","1","FTW",""
"100100000000162973","A WISH DECO APEGO GDE ART824","","","","5015015018242","","A50052109","SI","FTW","1","FTW",""
"100100000000162972","A WISH DECO APEGO MED ART823","","","","5015015018235","","A50052108","SI","FTW","1","FTW",""
"100100000000162063","A WISH DECO P/CHUP BROCH 502N","","","","501501501512","","A50051160","SI","FTW","1","FTW",""
"100100000000162062","A WISH DECO P/CHUP BROCH 502U","","","","501501501512","","A50051157","SI","FTW","1","FTW",""
"100100000000162087","A WISH DECO P/CHUP BROCH502NA","","","","501501501512","","A50051186","SI","FTW","1","FTW",""
"100100000000162114","A WISH DECO P/CHUP T/LIS502LN","","","","501501501512","","A50051216","SI","FTW","1","FTW",""
"100100000000162088","A WISH DECO P/CHUP T/LIS502LU","","","","501501501512","","A50051187","SI","FTW","1","FTW",""
"100100000000162040","A WISH DECO PORTACHUP NENA501","","","","512398015011","","A50051138","SI","FTW","1","FTW",""
"100100000000162038","A WISH DECO PORTACHUPETE N501","","","","512398015011","","A50051135","SI","FTW","1","FTW",""
"100100000000162039","A WISH DECO PORTACHUPETE U501","","","","512398015011","","A50051133","SI","FTW","1","FTW",""
"100100000000162977","A WISH DECO PROTECT COL/CA230","","","","512398422307","","A50052113","SI","FTW","1","FTW",""
"100100000000162978","A WISH DECO PROTECT COL/CO233","","","","512398422338","","A50052114","SI","FTW","1","FTW",""
"100100000000162979","A WISH DECO PROTECT COL/CU231","","","","512398422314","","A50052115","SI","FTW","1","FTW",""
