"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000001409","& ADHESIVO P/PROT.DENTAL X70GR","HALEON (GSK)","ADHESIVO DENTAL                   (DENT)","ULTRA COREGA","7794640171765","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001256","& CLOREHEXID. ENJ.BUCAL 250ML","COLGATE","ENJUAGUE BUCAL                    (DENT)","PERIOGARD","7891024179925","BR01450B","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000963","& CLORHEXID 0.6 G% COLUT 200ML","BERNABO (LAB)","ENJUAGUE BUCAL                    (DENT)","PLAC","7792175001090","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"101100000000000011","2LIFE CEP DENTAL 1103","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","4897031960085","","A88900457","SI","FTW","1","FTW",""
"996711","2LIFE CEP DENTAL 1108","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981084","","A88893537","SI","FTW","1","FTW",""
"100100000000000299","2LIFE CEP DENTAL 1109","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","4897031960542","","A88900460","SI","FTW","1","FTW",""
"996714","2LIFE CEP DENTAL 1110","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981107","","A88893540","SI","FTW","1","FTW",""
"996715","2LIFE CEP DENTAL 1111","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981114","","A88893541","SI","FTW","1","FTW",""
"996716","2LIFE CEP DENTAL 1113","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981138","","A88893542","SI","FTW","1","FTW",""
"100100000000000297","2LIFE CEP DENTAL 1115","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","4897031960634","","A88900458","SI","FTW","1","FTW",""
"100100000000000298","2LIFE CEP DENTAL 1116","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","4897031960825","","A88900459","SI","FTW","1","FTW",""
"996718","2LIFE CEP DENTAL 1117","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981176","","A88893544","SI","FTW","1","FTW",""
"996719","2LIFE CEP DENTAL 1118","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981183","","A88893545","SI","FTW","1","FTW",""
"996720","2LIFE CEP DENTAL 1120","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981206","","A88893546","SI","FTW","1","FTW",""
"996721","2LIFE CEP DENTAL 1122","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981220","","A88893547","SI","FTW","1","FTW",""
"995837","2LIFE CEP DENTAL 1128","IBC -INT I BUSINESS CONSULTANT","CEPILLO DE DIENTE                 (DENT)","2LIFE","6926360981282","","A88892669","SI","FTW","1","FTW",""
