"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000206414","100 DUCADOS PUDDING  LIMON/AMA","LICENCIAS SA","BUDIN                              (ALM)","100 DUCADOS","7798164160205","","","SI","FTW","1","FTW",""
"100100000000178515","100 PIPERS WHISKY 750CC","","","","80432402672","","","SI","FTW","1","FTW",""
"100100000000178514","{100 PIPERS WHISKY 750CC X12U","","","","10080432402679","","","SI","FTW","3","FTW",""
"100100000000186116","123 LISTO PREMEZ BROWNIE X300","","","","7798239780147","","A50067532","SI","FTW","1","FTW",""
"100100000000186120","123 LISTO PREMEZ CREP 3C X500","","","","7798239780222","","A50067536","SI","FTW","1","FTW",""
"100100000000186118","123 LISTO PREMEZ MUFF CHOX420","","","","7798239780161","","A50067538","SI","FTW","1","FTW",""
"100100000000186121","123 LISTO PREMEZ MUFF ESPX420","","","","7798239780185","","A50067537","SI","FTW","1","FTW",""
"100100000000186119","123 LISTO PREMEZ MUFF VAIX420","","","","7798239780154","","A50067533","SI","FTW","1","FTW",""
"100100000000180392","{131 FIAMBRE CERDO EMP. X KG","","","","2004780","","","SI","FTW","3","FTW",""
"100100000000178446","1882 FERNET 450CC","","","","7790139002886","","","SI","FTW","1","FTW",""
"100100000000178447","1882 FERNET 750CC","","","","7790139002879","","","SI","FTW","1","FTW",""
"100100000000178448","1882 FERNET CON COCA 354/473CC","","","","7798167047923","","","SI","FTW","1","FTW",""
"100100000000178449","1882 FERNET CON COLA 473ML","","","","7798167046896","","","SI","FTW","1","FTW",""
"100100000000178040","1888 SIDRA 500ML","","","","7790119002196","","","SI","FTW","1","FTW",""
"100100000000178041","1888 SIDRA 750CC","","","","7790119002370","","","SI","FTW","1","FTW",""
"100100000000206405","1888 SIDRA LATA 473CC","SÁENZ BRIONES Y CIA","SIDRA / SABORIZADA                 (ALM)","1888","7937644673829","","","SI","FTW","1","FTW",""
"100100000000206404","1888 SIDRA ROSE LATA 473CC","SÁENZ BRIONES Y CIA","SIDRA / SABORIZADA                 (ALM)","1888","7937891734374","","","SI","FTW","1","FTW",""
"100100000000183905","1930 VINTAGE SIDRA  720CC","","","","7790154000485","","","SI","FTW","1","FTW",""
"100100000000182324","1RO DE AGOSTO CAÑA 200CC","","","","7790260014147","","","SI","FTW","1","FTW",""
"100100000000182065","{266 FIAMBRE CERDO PAT EMP.1KG","","","","2079647","","","SI","FTW","3","FTW",""
"100100000000182064","{266 FIAMBRE CERDO PATA 1KG","","","","2079646","","","SI","FTW","3","FTW",""
"100100000000185069","3 ARROYOS AV. TRAD.400G","","","","7791019171718","","","SI","FTW","1","FTW",""
"100100000000185063","3 ARROYOS COP.MAIZ 150G","","","","7791019000053","","","SI","FTW","1","FTW",""
"100100000000185064","3 ARROYOS COP.MAIZ 400G","","","","7791019000213","","","SI","FTW","1","FTW",""
"100100000000185065","3 ARROYOS COP.MAIZ AZU.200G","","","","7791019000060","","","SI","FTW","1","FTW",""
"100100000000185066","3 ARROYOS COP.MAIZ AZU.500G","","","","7791019000220","","","SI","FTW","1","FTW",""
