"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000001257","& AC. LACTICO LOC X120ML","MEGALABS ARG.","DERMATOCOSMETICO                  (COSM)","LACTIBON","7703332003352","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001419","& ACEITE CITRONELA CR.X 50 GR.","BAJER","REPELENTE DE INSECTO              (COSM)","AULO GELIO","7793094000478","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001027","& ALANTOINA+ASOC. JBN 120G","ANDROMACO","HIGIENE DE LA PIEL                (COSM)","AVENO","7793742004384","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001026","& AVENA+ASOC. SHAMP 250ML","ANDROMACO","HIGIENE DE LA PIEL                (COSM)","AVENO","7793742004360","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001016","& JABON NEUTRO  X80G NOSOAP","SIEGFRIED","HIGIENE DE LA PIEL                (COSM)","NOSOAP","7795380042551","9900717","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000909","& VIT.A 1000UI/G EMULS 200G","BAGO","HIDRATANTE NUTRIENTE DERMICO      (COSM)","BAGOVIT","7790375000134","2887973","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"100100000000115437","3M CAVILON CR PROT CUT  X92GR","3 M","PROTECTOR CUTANEO                 (COSM)","3M","4046719869824","","A50003395","SI","FTW","1","FTW",""
"100100000000112113","3M CAVILON FILM PROT CUTX28ML","3 M","PROTECTOR CUTANEO                 (COSM)","3M","707387469030","","A50000009","SI","FTW","1","FTW",""
"100100000000032264","3M GEL SANITIZANTE C/MIC X 65","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","7792840003053","BV60058","A88932107","SI","FTW","1","FTW",""
"100100000000032265","3M GEL SANITIZANTE C/MIC X250","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","7792840003060","BV60060","A88932108","SI","FTW","1","FTW",""
"100100000000032266","3M LAP SANITIZANTE SPRAY X 10","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","7792840003077","BV60059","A88932109","SI","FTW","1","FTW",""
"100100000000167299","{3M SOLUPRET 2%   <10326>X225","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","689330185634","","A50056588","SI","FTW","3","FTW",""
"100100000000095827","{3M SOLUPRET C/COL <10027>X50","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","70200790213","BV63689","A88996031","SI","FTW","3","FTW",""
"100100000000095828","{3M SOLUPRET C/COL<10025>X 96","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","70200790197","BV63688","A88996032","SI","FTW","3","FTW",""
"100100000000095826","{3M SOLUPRET C/COL<10326>X225","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","","BV60640","A88996030","SI","FTW","3","FTW",""
"100100000000095829","3M SOLUPRET S/COL <10203>X1.6","3 M","ANTISEPTICO DESINFECTANTE         (COSM)","3M","70200790262","BV63690","A88996033","SI","FTW","1","FTW",""
"100100000000165341","420 CBD BEAUTY CR FAC X 50 ML","IQUISA S.A.","ACEITE PARA MASAJES MUSCULARES    (COSM)","420 CBD","0727373073317","","A50054567","SI","FTW","1","FTW",""
"100100000000165342","420 CBD TETITA FELIZ CR+ACEI","IQUISA S.A.","ACEITE PARA MASAJES MUSCULARES    (COSM)","420 CBD","0727373073300","","A50054568","SI","FTW","1","FTW",""
"677726","{A-4 CALENDULA CR X 60 G","EURODERM","HIDRATANTE NUTRIENTE DERMICO      (COSM)","A-4","7798024440515","","A88812016","SI","FTW","3","FTW",""
"686036","{ABANTA EMUL LIMPIAD X 250 ML","{COLUMBIA","","ABANTA","7795341000958","","A99907025","SI","FTW","3","FTW",""
"686037","{ABANTA EMUL LIMPIAD X 500 ML","{COLUMBIA","","ABANTA","7795341000965","","A99907026","SI","FTW","3","FTW",""
"678361","{ABANTA PDA X 45 G","{COLUMBIA","","ABANTA","7795341000989","","A88813920","SI","FTW","3","FTW",""
"665651","{ABANTA PDA X 70 G","{COLUMBIA","","ABANTA","7795341000996","","A06300057","SI","FTW","3","FTW",""
"683259","ABRALUX CR X 60 G","VALUGE","ABRASIVO DE LIMPIEZA              (COSM)","ABRALUX","7798095330043","","A99903204","SI","FTW","1","FTW",""
"920014","{ABRAX ENV X 40 G","{PHARMALAB","","ABRAX","7798145050013","","A88869571","SI","FTW","3","FTW",""
"672644","{ACILAC CR X 60 G","NOVOPLOS","","ACILAC","7798024440447","","A74240012","SI","FTW","3","FTW",""
"100100000000022058","ACILAC OMEGA 3-6 CR X200 G","NOVOPLOS","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ACILAC","7798144110145","","A88921766","SI","FTW","1","FTW",""
"670859","{ACNE-AID JAB X 100 G","GLAXOSMITHKLINE BIOPHARMA","","ACNE-AID","7501406870042","","A25200202","SI","FTW","3","FTW",""
"100100000000100808","ACNEIQUE GEL LIMPIADOR X 200G","CEPAGE","LIMPIADOR P/PIEL ACNEICA          (COSM)","ACNEIQUE","7798182770332","","A89000596","SI","FTW","1","FTW",""
"100100000000139790","ACNEIQUE GEL LIMPIADOR X 450G","CEPAGE","LIMPIADOR P/PIEL ACNEICA          (COSM)","ACNEIQUE","7798182771179","","A50028123","SI","FTW","1","FTW",""
"100100000000162781","ACNEIQUE SERUM GOTERO     X30","CEPAGE","LIMPIADOR P/PIEL ACNEICA          (COSM)","ACNEIQUE","7798178624144","","A50051912","SI","FTW","1","FTW",""
"100100000000200988","ACNESAN DRY STICK BAR SECAX2G","FORTBENTON","DERMATOCOSMETICO                  (COSM)","ACNESAN","7794428312823","","A50082079","SI","FTW","1","FTW",""
"671340","ACNETROL GEL X  60 G","LAGOS","DESCONGESTIVO                     (COSM)","ACNETROL","7798024330014","","A30100101","SI","FTW","1","FTW",""
"671952","ACNETROL LOC X 130 ML","LAGOS","DESCONGESTIVO                     (COSM)","ACNETROL","7798024330021","","A39403101","SI","FTW","1","FTW",""
"100100000000070893","AC-QUAXA SH  X 200ML","F & F FARMA","ANTICASPA                         (COSM)","AC-QUAXA","7798159090739","","A88967517","SI","FTW","1","FTW",""
"678287","{ACTIUM CORP NUTR EMUL X200ML","MONSERRAT","","ACTIUM","7795334990037","","A88813747","SI","FTW","3","FTW",""
"100100000000030016","ACTIUM CR NUTR HIDRAT  X 75G","MONSERRAT","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ACTIUM","7795334990044","","A88930169","SI","FTW","1","FTW",""
"678288","{ACTIUM FACIAL NUTR CR  X 75G","MONSERRAT","","ACTIUM","7795334990020","","A88813748","SI","FTW","3","FTW",""
"678289","{ACTIUM MANOS CR        X 75G","MONSERRAT","","ACTIUM","7795334990013","","A88813749","SI","FTW","3","FTW",""
"678090","{ACUARA CR X 100 G","{SW PHARMA","","ACUARA","7798093490015","","A88812794","SI","FTW","3","FTW",""
"100100000000011787","{ADERMICINA A CR NUTRI X 100G","{SANOFI-AVENTIS OTC.","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ADERMICINA","7792819803103","","A88912565","SI","FTW","3","FTW",""
"100100000000004466","{ADERMICINA A CR NUTRI X 200G","{SANOFI-AVENTIS OTC.","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ADERMICINA","7792819803202","","A88904896","SI","FTW","3","FTW",""
"100100000000004467","{ADERMICINA A EMULS HIDX 250ML","ELEA","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ADERMICINA","7792819804254","","A88904897","SI","FTW","3","FTW",""
"776642","{ADERMICINA A POST SOLAX200ML","{SANOFI-AVENTIS OTC.","HIDRATANTE NUTRIENTE DERMICO      (COSM)","ADERMICINA","7792819806524","","A88843304","SI","FTW","3","FTW",""
"100100000000003225","{ADERMICINA A P/S D/A EMUX200","{SANOFI-AVENTIS OTC.","HIDRATANTE                        (COSM)","ADERMICINA","7792819000144","","A88903187","SI","FTW","3","FTW",""
