"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000974","* AEROTINA  10 MG COMP X 10","ZZ RAFFO","ANTIHISTAMINICO                     (VL)","AEROTINA","7798084680135","","","SI","GRUPO BIOSALUD","3","GRUPO BIOSALUD",""
"134940000000000892","* AGAROL CHICLE FRUTA X6","ELEA","LAXANTE                             (VL)","AGAROL","7798033000045","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001272","& ALANT.2,5 MG+VIT.E50MGX100GR","CASASCO","NUTRIENTE DERMICO                   (VL)","FACTOR","7791909103635","5143192","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001262","* ALERNIX 24 R/ACC CX5","ELEA","ANTIALERGICO                        (VL)","ALERNIX","7796285278755","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000882","* ASPIRINETAS COMP X14","BAYER CONSUMER","ANTIAGREGANTE PLAQUETARIO           (VL)","ASPIRINETAS","7793640000839","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000889","* BAYASPIRINA C CALIENT EFE X1","BAYER CONSUMER","ANALGESICO ANTIFEBRIL               (VL)","BAYASPIRINA","7793640802532","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000888","* BAYASPIRINA C LIM  EFER X1","BAYER CONSUMER","ANALGESICO ANTIFEBRIL               (VL)","BAYASPIRINA","7793640002673","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000885","* BAYASPIRINA COMP X10","BAYER CONSUMER","ANALGESICO ANTIFEBRIL               (VL)","BAYASPIRINA","7793640000747","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000890","* BAYASPIRINA FORTE COMP X10","BAYER CONSUMER","ANALGESICO                          (VL)","BAYASPIRINA","7793640000754","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001248","& BISACODILO 5MG CX1","TEMIS-LOSTALO","LAXANTE                             (VL)","LAXAMIN","7795337990874","0621253","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000880","* BUSCAPINA DUO CX10 ALARGADA","OPELLA HEALTHCARE ARG","ANALGESICO ANTIESPASMODICO          (VL)","BUSCAPINA","7795312109079","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000968","* BUSCAPINA PERLAS CAPS X10","OPELLA HEALTHCARE ARG","ANTIESPASMODICO                     (VL)","BUSCAPINA","7798389330056","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000887","* CAFIASPIRINA COMP X10","BAYER CONSUMER","ANALGESICO                          (VL)","CAFIASPIRINA","7793640000761","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000886","* CAFIASPIRINA PLUS COMP X10","BAYER CONSUMER","ANALGESICO                          (VL)","CAFIASPIRINA","7793640000778","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000891","* CARBON BELLOC COMP X10","SCHAFER","ANTIDIARREICO                       (VL)","CARBON","7798142290900","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000996","& CLORHEX 0.12% DIGL.200ML","SAVANT CONSUMER","ENJUAGUE BUCAL ANTIPLACA            (VL)","PERIOBACTER","7798032935522","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000959","& DICLOFENAC 1.16 G% GEL 100G","HALEON (GSK)","ANALGESICO ANTIINFLAMATORIO         (VL)","VOLTAREN","7794640172182","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
