"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000001007","& ACENOCUMAROL 4MG CX1","SIEGFRIED","ANTICOAGULANTE","SINTROM","7798129413988","327221","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000972","& ACETAZOLAMIDA 250MG CX1","NOVOPLOS","ANTIGLAUCOMATOSO","ACETA","7795373022584","6209711","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001094","& ACETILCISTEINA 600 MG SOBX1","CASASCO","MUCOLITICO","TOFLUX","7791909200433","6153841","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001093","& ACETILCISTEINA 600 MG SOBX1","CASASCO","MUCOLITICO","TOFLUX","7791909200457","6153842","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001260","& ACETILSALIC. AC.100MG CX1","BAYER (PH)","ANTIAGREGANTE PLAQUETARIO","ASPIRINA","7793640232261","5695392","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000958","& AC.FUSID.2%+BETAM.0,1% CR15G","ANDROMACO","ANTIBACTERIANO ANTIINFLAMATORIO","ACIFUSIN","7793742002144","5702391","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000877","& AC.POLIACRIL.0.2% GEL OFX10G","POEN","LUBRICANTE OCULAR","ACRYLARM","7795368001501","4296482","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000878","& AC.SALICILICO+ASOC.LOC140 ML","ANDROMACO","ANTIACNEICO","ACNOXIN","7793742006203","587522","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000989","& AC.TIOCTICO+BI+B6+B12 CX1","TRB-PHARMA","NEUROPROTECTOR","NERVOMAX","7795371000140","3899333","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001414","& AC.TOLFENAMICO 200 MG CX1","BETA","ANTIMIGRAÑOSO","FLOCUR","7795328053212","4696362","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000986","& AC.TRANEXAMICO 500MG CX1","ARISTON","HEMOSTATICO","AROTRAN","7795349000301","5853973","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001334","& ADAPALENO 0.1%+PEROX.X50GR","PANALAB","ANTIACNEICO","PANALENE","7798051852381","5916392","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001395","& ADAPALENO 0.3 % GEL 30G","ANDROMACO","ANTIACNEICO","SINAC","7793742006715","5974971","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001345","& ALLOPUR.+COLCHIC.300 CX1","SIEGFRIED","ANTIGOTOSO","COLPURIL","7798129410222","3004762","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001273","& ALLOPURINOL 100 MG CX1","GADOR","ANTIGOTOSO","ALLOPURINOL.GADOR","7792183488326","3346157","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000967","& ANTIP+CARB.SODIO GOT.OTIC5ML","DALLAS","CERUMENOLITICO OTOPROTECTOR","SINCERUM","7795331006670","227732","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001269","& ANTIP+CARB.SODIO GOT.OTIC8ML","DALLAS","CERUMENOLITICO OTOPROTECTOR","SINCERUM","7795331000081","227733","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001288","& ATORVASTATIN 10 MG CX1","LAZAR","HIPOLIPEMIANTE","LIPONORM","7795347936251","4638103","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001024","& ATORVASTATIN 10MG CX1","CASASCO","HIPOLIPEMIANTE","AMPLIAR","7791909292094","4657411","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001289","& ATORVASTATIN 10MG CX1","CRAVERI","HIPOCOLESTEROLEMIANTE","PLAN","7792234089021","5123293","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001331","& ATORVASTATIN 40 MG CX1","BALIARDA","HIPOLIPEMIANTE","TORIVAS","7795338016979","5322973","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001015","& ATORVASTATIN 40MG CX1","ZZ RAFFO","HIPOLIPEMIANTE","LIPIFEN","7798084683693","6283682","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001391","& ATORVASTATINA 40 MG CX1","TEVA ARGENTINA","HIPOLIPEMIANTE","LIPIBEC","7795326001192","5046101","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000910","& ATROPINA SULF 1G% COLIR 5ML","ALCON","MIDRIATICO","ISOPTO","7792086748541","0017851","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001254","& B- MET. MEPREDNISONA 40MGCX1","GADOR","CORTICOSTEROIDE","CORTIPYREN","7792183100891","705582","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001412","& BENZ.DE BENC.PERMET. X 100ML","MONSERRAT","PEDICULICIDA","FRIPI","7795334000286","4174791","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000985","& BETAHISTINA  8MG CX1","FORTBENTON","ANTIVERTIGINOSO","MENIEX","7794428011436","4742892","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000971","& BETAMETASONA CR 20G","CASASCO","CORTICOSTEROIDE TOPICO","CORTICAS","7791909432278","6188972","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001325","& BETAMETASONA FA X1 X2ML","MONTPELLIER","CORTICOSTEROIDE","CORTEROID","7795378000495","2127702","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001101","& BETAMETAS+SALICILIC ACX30G","MEDISOL","ANTIINFLAMATORIO QUERATOLITICO","SALICORT","7795373015722","5112502","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001250","& BETAMET.+GENTA+MIC CR.X20GR","ANDROMACO","ANTIBIOTICO ANTIINFLAMATORIO","MACRIL","7793742001437","2562573","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000900","* BIL 13 COMP X10","BAGO","HEPATOPROTECTOR","BIL","7790375000219","0704673","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000951","& BIMATOPROST 0.01G% COLIR 3ML","ABBVIE ALLERGAN AESTHETICS","ANTIGLAUCOMATOSO","LUMIGAN","8054083025711","6025261","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000860","* BIORGAN S 200/120MG COMP X10","CRAVERI","ANTIESPASMODICO","BIORGAN","7795326000553","6187842","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000956","& BRIMONIDINA 0.2% COLIR 5ML ","POEN","ANTIGLAUCOMATOSO","BRIMOPRESS","7795368001556","4646101","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001352","& BROMFENAC 0.09% GOT X 5ML","POEN","ANTIINFLAMATORIO OFTALMICO","NATAX","7795368055092","5572261","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001360","& BROMFENAC 0.09% GOT X 5ML","ELEA","ANTIINFLAMATORIO OFTALMICO","BERLOFEN","7796285277130","6323681","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001104","& BUDESONIDE 200 MC 120 DS","MEDISOL","ANTIASMATICO","AEROVENT","7795373031524","5252412","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000000881","* BUSCAPINA CTUM CX10 REDONDA","OPELLA HEALTHCARE ARG","ANALGESICO ANTIESPASMODICO","BUSCAPINA","7795312108775","3617414","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
