"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000162796","A WISH DEC BABERO BAND E 1040","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","3212300100404","","A50051926","SI","FTW","1","FTW",""
"100100000000162797","A WISH DEC BABERO BAND T 1044","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","512392100447","","A50051927","SI","FTW","1","FTW",""
"100100000000162795","A WISH DEC BABERO CR BOL 1042","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","3212300100428","","A50051925","SI","FTW","1","FTW",""
"100100000000162794","A WISH DEC BABERO R/NAC 1041","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","512392100416","","A50051924","SI","FTW","1","FTW",""
"100100000000162935","A WISH DEC BABITA XL MICR 991","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","987600009919","","A50052070","SI","FTW","1","FTW",""
"100100000000162793","A WISH DEC BABITAS X4U   990","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","","","A50051923","SI","FTW","1","FTW",""
"100100000000162918","A WISH DEC PAÑUELOS BAND 1045","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","5212300110458","","A50052055","SI","FTW","1","FTW",""
"100100000000162939","A WISH DEC SET NACIMIENTO 514","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","5015015015142","","A50052074","SI","FTW","1","FTW",""
"100100000000162969","A WISH MEDIAS  T0   A901 X12U","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","0512398459013","","A50052105","SI","FTW","1","FTW",""
"100100000000162968","A WISH MEDIAS  T000 A900 X12","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","0512398459006","","A50052104","SI","FTW","1","FTW",""
"100100000000162970","A WISH MEDIAS  T1   A903 X12U","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","0512398459037","","A50052106","SI","FTW","1","FTW",""
"100100000000162971","A WISH MEDIAS  T2   A904 X12U","GRUPO BABYSTORE","INDUMENTARIA INFANTIL             (INDU)","A WISH","0512398459044","","A50052107","SI","FTW","1","FTW",""
"100100000000086735","AJO AJO AJUAR MAYOR   MADERA","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","3465032300003","","A88986797","SI","FTW","1","FTW",""
"100100000000086734","AJO AJO AJUAR MEDIA   MADERA","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","3465032300002","","A88986796","SI","FTW","1","FTW",""
"100100000000086733","AJO AJO AJUAR MINI    MADERA","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","3465032300001","","A88986795","SI","FTW","1","FTW",""
"100100000000086736","AJO AJO AJUAR PREMIUM MADERA","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","3465032300004","","A88986798","SI","FTW","1","FTW",""
"100100000000086691","AJO AJO ALMOH WAWITA P/AMAMAN","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","7798155720140","","A88986765","SI","FTW","1","FTW",""
"100100000000086684","AJO AJO ALMOHADA BB  LYNON","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","7798155720141","","A88986761","SI","FTW","1","FTW",""
"100100000000086683","AJO AJO ALMOHADA BB  PIQUE","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","7798155720142","","A88986762","SI","FTW","1","FTW",""
"100100000000086687","AJO AJO ALMOHADA CERV C/SONAJ","ROLDAN LUCAS DANIEL Y SOLEDAD","INDUMENTARIA INFANTIL             (INDU)","AJO AJO","7798155720135","","A88986764","SI","FTW","1","FTW",""
