"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000245","* ARTROSTOP CALAMB  X1 S/AZU","FORMULAB","SUPLEMENTO DIETARIO            (NUT/DIE)","ARTROSTOP","9991","77962492","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001330","& POLIVIT.+MULTIMIN. CX1","OPELLA HEALTHCARE ARG","SUPLEMENTO DIETARIO            (NUT/DIE)","PHARMATON","3664798041521","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001255","& PROT+GRASAS+CARBOH.PVO 800GR","ABBOTT NUTRICION","COMPLEMENTO DIETARIO           (NUT/DIE)","ENSURE","6922244700703","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001355","& SUPLEM. NUTRIC.BALANC.SOB X1","MERVICK","SUPLEMENTO DIETARIO            (NUT/DIE)","MERVICK","7798115260442","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001028","& VIT.+MINERALES CX1","HALEON (GSK)","POLIVITAMINICO POLIMINERAL     (NUT/DIE)","CENTRUM","7794640173264","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"673467","{102 COMP X 60","ISA","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7790839950203","","A77700918","SI","FTW","3","FTW",""
"100100000000200347","102 FOCUS COMP REC X 30","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984001727","","A50081429","SI","FTW","1","FTW",""
"100100000000194435","102 MAGNESIO CITRATO COMP X30","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984001758","","A50075486","SI","FTW","1","FTW",""
"100100000000174714","102 MAGNESIO COMP REC X30","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984001512","","A50064154","SI","GRUPO BIOSALUD","1","FTW",""
"100100000000174715","102 MAGNESIO GUMMIES GOM.X90","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984001529","","A50064155","SI","FTW","1","FTW",""
"100100000000096692","102 MUJER CAPS X 30","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984001154","","A88995722","SI","FTW","1","FTW",""
"673468","102 PLUS COMP X 30","MILLET (LAB)","SUPLEMENTO DIETARIO            (NUT/DIE)","102","7791984000485","","A77700919","SI","FTW","1","FTW",""
