"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"100100000000127182","{3M ANTEOJO PROT I-1978 GRIS","3 M","ACCESORIO                         (OPTI)","3M","7792840638101","","A50015411","SI","FTW","3","FTW",""
"100100000000124230","{3M ANTEOJO PROT VIRT T ANTIE","3 M","ACCESORIO                         (OPTI)","3M","7792840002780","","A50012357","SI","FTW","3","FTW",""
"100100000000106762","{3M ANTEOJO PROT VIRT TRANSP","3 M","ACCESORIO                         (OPTI)","3M","7792840002766","BV336453","A89006215","SI","FTW","3","FTW",""
"100100000000151054","ACUAISS DUAL GEL X 10ML","DISOP/VISIONTECH","LIQUIDO DE LIMPIEZA               (OPTI)","ACUAISS","8435080008257","","A50039856","SI","FTW","1","FTW",""
"100100000000151055","ACUAISS ULTRA S/CX 10ML","DISOP/VISIONTECH","LIQUIDO DE LIMPIEZA               (OPTI)","ACUAISS","8435080005683","","A50039857","SI","FTW","1","FTW",""
"100100000000134466","ACUAISS UNIDOSIS X 20ML","DISOP/VISIONTECH","LIQUIDO DE LIMPIEZA               (OPTI)","ACUAISS","8435080001821","","A50022871","SI","FTW","1","FTW",""
"945950","ACUAISS X 15ML","DISOP/VISIONTECH","LIQUIDO DE LIMPIEZA               (OPTI)","ACUAISS","8435080002057","","A88878197","SI","FTW","1","FTW",""
"703560","AGUA DESMINERA.MAURI X 500ML","BIOTECH FARMA","LIQUIDO DE LIMPIEZA               (OPTI)","AGUA DESMINERALIZADA","7798015894051","","A32201001","SI","FTW","1","FTW",""
"663089","ALCON LAGRIMAS UNG OFT X 3.5G","ALCON","LUBRICANTE OCULAR                 (OPTI)","ALCON","7795306427219","2645732","A00400403","SI","FTW","1","FTW",""
"945923","ALL CLEAN SOFT X 100ML","BAUSCH & LOMB AR","LIQUIDO DE LIMPIEZA               (OPTI)","ALL","8431306061181","","A88878170","SI","FTW","1","FTW",""
"100100000000134467","ALL CLEAN SOFT X 350ML","BAUSCH & LOMB AR","LIQUIDO DE LIMPIEZA               (OPTI)","ALL","8431306061198","","A50022872","SI","FTW","1","FTW",""
"100100000000134468","ALVERA         X 100ML","BAUSCH & LOMB AR","LIQUIDO DE LIMPIEZA               (OPTI)","ALVERA","8431306070794","","A50022873","SI","FTW","1","FTW",""
"100100000000134469","ALVERA         X 350ML","BAUSCH & LOMB AR","LIQUIDO DE LIMPIEZA               (OPTI)","ALVERA","8431306070787","","A50022874","SI","FTW","1","FTW",""
"100100000000106904","AOSEPT PLUS C/HYDRAGLY X360ML","ALCON","LIQUIDO DE LIMPIEZA               (OPTI)","AOSEPT","0300650363754","","A89007110","SI","FTW","1","FTW",""
"703958","AOSEPT PLUS LIMP C/EST X360ML","ALCON","LIQUIDO DE LIMPIEZA               (OPTI)","AOSEPT","0300650360432","","A77701754","SI","FTW","1","FTW",""
"724678","AQUALENT LIMP DOSI X120ML","INMUNOLAB","LIQUIDO DE LIMPIEZA               (OPTI)","AQUALENT","7798018490670","","A88817722","SI","FTW","1","FTW",""
"710640","{AQUALENT M/AC PLUS X240ML","INMUNOLAB","LIQUIDO DE LIMPIEZA               (OPTI)","AQUALENT","7798018490014","","A77702654","SI","FTW","3","FTW",""
"100100000000077217","{AQUALENT M/AC PLUS X360ML","INMUNOLAB","LIQUIDO DE LIMPIEZA               (OPTI)","AQUALENT","7798018491066","","A88976442","SI","FTW","3","FTW",""
"100100000000111944","{AQUALENT M/AC PREM X240ML","INMUNOLAB","LIQUIDO DE LIMPIEZA               (OPTI)","AQUALENT","7798018492131","","A89011588","SI","FTW","3","FTW",""
"1026436","ARION CRONOS  X360ML","DISOP/VISIONTECH","LIQUIDO DE LIMPIEZA               (OPTI)","ARION","8435080000961","","A88901653","SI","FTW","1","FTW",""
"100100000000068834","ARLYT CLEAN LENTE BLAN X 35ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030782","","A88969056","SI","FTW","1","FTW",""
"100100000000077216","ARLYT CLEAN LENTE RPG  X 35ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030768","","A88976441","SI","FTW","1","FTW",""
"100100000000055319","ARLYT CLEAN LENTE RPG  X120ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030058","","A88954715","SI","FTW","1","FTW",""
"100100000000055311","ARLYT EXPRESS X 60ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030201","A10036","A88954707","SI","FTW","1","FTW",""
"100100000000055312","ARLYT EXPRESS X120ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030034","A10037","A88954708","SI","FTW","1","FTW",""
"100100000000055313","ARLYT EXPRESS X240ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030157","A10038","A88954709","SI","FTW","1","FTW",""
"100100000000055314","ARLYT EXPRESS X360ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030041","A10039","A88954710","SI","FTW","1","FTW",""
"100100000000081463","ARLYT EXPRESS X500ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195031062","","A88980576","SI","FTW","1","FTW",""
"100100000000116611","ARLYT FILL FRAS 4 X 35ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195031161","","A50004575","SI","FTW","1","FTW",""
"100100000000055320","ARLYT FRESH ENV X 15ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195030065","","A88954716","SI","FTW","1","FTW",""
"100100000000091436","ARLYT KLINNER ENV X 35ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195031109","","A88990413","SI","FTW","1","FTW",""
"100100000000080417","ARLYT KLINNER X 60ML","POEN","GOTA OPTICA                       (OPTI)","ARLYT","7798195031086","","A88979343","SI","FTW","1","FTW",""
