"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000000964","& FAJA ABD. ILEOSTOMIA T3","DEMA","FAJA ORTOPEDICA                  (ORTOP)","DEMA","7798068208263","","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001428","& FERULA INFL.P/MIEMB. SUP. TL","BANDER GREEN","INMOVILIZADOR                    (ORTOP)","BANDER GREEN","7798148277141","BG2807","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001337","& MEDIA ELAST.COM.3/4 15-20CM","IBICI","MEDIA DE COMPRESION              (ORTOP)","SEGRETA","8001984152947","REPOMEN","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001336","& MEDIA ELAST.COMP.3/4 15-20CM","IBICI","MEDIA DE COMPRESION              (ORTOP)","SEGRETA","8001984152954","REPOMEN","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"134940000000001421","& VENDA ELASTICA 10CM","SYRA","VENDA                            (ORTOP)","SYRA","7792009000213","S10060140","","SI","GRUPO BIOSALUD","1","GRUPO BIOSALUD",""
"743993","3M ZAPATO P/INMOV MARCHA CH","3 M","INMOVILIZADOR                    (ORTOP)","3M","","","A88841587","SI","FTW","1","FTW",""
"743995","3M ZAPATO P/INMOV MARCHA GDE","3 M","INMOVILIZADOR                    (ORTOP)","3M","","","A88841589","SI","FTW","1","FTW",""
"743994","3M ZAPATO P/INMOV MARCHA MED","3 M","INMOVILIZADOR                    (ORTOP)","3M","","","A88841588","SI","FTW","1","FTW",""
"100100000000147725","ACTIVA MED 3/4 MUJ S/P NAT T3","","","","7798148278599","","A50036245","SI","FTW","1","FTW",""
"100100000000146442","ACTIVA MED MU TER S/P TM27858","","","","7798148278582","","A50034934","SI","FTW","1","FTW",""
"100100000000146443","ACTIVA MED MU TER S/P TS27857","","","","7798148278575","","A50034933","SI","FTW","1","FTW",""
"100100000000146441","ACTIVA MED MU TER S/P XL27860","","","","7798148278605","","A50034935","SI","FTW","1","FTW",""
"100100000000001321","AFFECTIVE ZALEAS          X10","SERENITY","ZALEA/CUBRE COLCHON/CUBRE ALMOHA (ORTOP)","AFFECTIVE","7791906000777","","A88900943","SI","FTW","1","FTW",""
