"ID","Producto","Fabricante","Familia","Marca","Código de barras","Troquel","Código externo","Habilitado","Nodo Habilitado","Estado","Nodo","Acciones"
"134940000000001043","0","LENTERDIT SA","PAÑAL PARA ADULTO                (PAÑAL)","NONISEC","41015","","","SI","GRUPO BIOSALUD","3","GRUPO BIOSALUD",""
"708937","ABSORSEC PAAD   GDE GEL X10","DESC ARG (TOALLAS)","PAÑAL PARA ADULTO                (PAÑAL)","ABSORSEC","7793620002679","","A32100601","SI","FTW","1","FTW",""
"708938","ABSORSEC PAAD   GDE GEL X20","DESC ARG (TOALLAS)","PAÑAL PARA ADULTO                (PAÑAL)","ABSORSEC","7794626735387","","A32100602","SI","FTW","1","FTW",""
"708939","ABSORSEC PAAD E/GDE GEL X10","DESC ARG (TOALLAS)","PAÑAL PARA ADULTO                (PAÑAL)","ABSORSEC","7793620002686","","A32100603","SI","FTW","1","FTW",""
"708940","ABSORSEC PAAD E/GDE GEL X18","DESC ARG (TOALLAS)","PAÑAL PARA ADULTO                (PAÑAL)","ABSORSEC","7794626735394","","A32100604","SI","FTW","1","FTW",""
"100100000000093966","ADULT CARE ROPA INT GDE X 8","HENNIATEX S.R.L.","PAÑAL PARA ADULTO                (PAÑAL)","ADULT CARE","0742832960991","","A88994864","SI","FTW","1","FTW",""
"100100000000093967","ADULT CARE ROPA INT MED X 8","HENNIATEX S.R.L.","PAÑAL PARA ADULTO                (PAÑAL)","ADULT CARE","0742832960984","","A88994865","SI","FTW","1","FTW",""
"100100000000093968","ADULT CARE ROPA INT XGD X 8","HENNIATEX S.R.L.","PAÑAL PARA ADULTO                (PAÑAL)","ADULT CARE","0742832961004","","A88994866","SI","FTW","1","FTW",""
"727253","{AFFECTIVE ACT PAÑAL GDE  X 8","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","7791906620357","","A88821952","SI","FTW","3","FTW",""
"785018","AFFECTIVE ACT PAÑAL GDE NVX 8","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","7791906920549","","A88847521","SI","FTW","1","FTW",""
"720211","AFFECTIVE ACT PAÑAL MED NVX 8","SERENITY","PAÑAL PARA ADULTO                (PAÑAL)","AFFECTIVE","7791906920532","","A88811488","SI","FTW","1","FTW",""
"739260","{AFFECTIVE ADV PAÑAL GDE  X10","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","0013117016222","","A88837231","SI","FTW","3","FTW",""
"739259","{AFFECTIVE ADV PAÑAL MED  X10","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","0013117016338","","A88837230","SI","FTW","3","FTW",""
"785017","AFFECTIVE CLA PAÑAL GDE NVX 8","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","7791906920808","","A88847520","SI","FTW","1","FTW",""
"785016","AFFECTIVE CLA PAÑAL MED NVX 8","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","7791906920792","","A88847519","SI","FTW","1","FTW",""
"739261","AFFECTIVE JUNIOR          X 8","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","7791906621040","","A88837232","SI","FTW","1","FTW",""
"757844","{AFFECTIVE SAFE PANTS NVO X10","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AFFECTIVE","0013117015997","","A88843151","SI","FTW","3","FTW",""
"100100000000165573","ANIDAR PAñAL P/AGUA REU 5/15K","SUR (DROG)","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","ANIDAR","0764451977167","","A50054803","SI","FTW","1","FTW",""
"735466","{AQUAKIDS BOMB BEBES CH X11","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AQUAKIDS","13117011654","","A88832560","SI","FTW","3","FTW",""
"735465","{AQUAKIDS BOMB BEBES CH X12","SERENITY","PAÑAL PARA BEBE Y NIÑO           (PAÑAL)","AQUAKIDS","13117011647","","A88832559","SI","FTW","3","FTW",""
